@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	100.0000		
1224	phylum	2|1224	Bacteria|Pseudomonadota	46.2101		
2818505	phylum	2|2818505	Bacteria|Myxococcota	6.7605		
203682	phylum	2|203682	Bacteria|Planctomycetota	0.5295		
203691	phylum	2|203691	Bacteria|Spirochaetota	12.9117		
29547	phylum	2|29547	Bacteria|Campylobacterota	21.4374		
976	phylum	2|976	Bacteria|Bacteroidota	10.1680		
1297	phylum	2|1297	Bacteria|Deinococcota	1.9828		
1236	class	2|1224|1236	Bacteria|Pseudomonadota|Gammaproteobacteria	32.7750		
32015	class	2|2818505|32015	Bacteria|Myxococcota|Myxococcia	4.6306		
203683	class	2|203682|203683	Bacteria|Planctomycetota|Planctomycetia	0.5295		
203692	class	2|203691|203692	Bacteria|Spirochaetota|Spirochaetia	12.9117		
28211	class	2|1224|28211	Bacteria|Pseudomonadota|Alphaproteobacteria	4.3579		
3031852	class	2|29547|3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	21.4374		
117743	class	2|976|117743	Bacteria|Bacteroidota|Flavobacteriia	10.1680		
188787	class	2|1297|188787	Bacteria|Deinococcota|Deinococci	1.9828		
28216	class	2|1224|28216	Bacteria|Pseudomonadota|Betaproteobacteria	9.0772		
91347	order	2|1224|1236|91347	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales	3.4055		
135622	order	2|1224|1236|135622	Bacteria|Pseudomonadota|Gammaproteobacteria|Alteromonadales	3.1647		
29	order	2|2818505|32015|29	Bacteria|Myxococcota|Myxococcia|Myxococcales	4.6306		
3031712	order	2|2818505||3031712	Bacteria|Myxococcota||Polyangiales	2.1299		
135614	order	2|1224|1236|135614	Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales	8.5526		
112	order	2|203682|203683|112	Bacteria|Planctomycetota|Planctomycetia|Planctomycetales	0.5295		
136	order	2|203691|203692|136	Bacteria|Spirochaetota|Spirochaetia|Spirochaetales	6.1837		
1643686	order	2|203691|203692|1643686	Bacteria|Spirochaetota|Spirochaetia|Brachyspirales	4.5151		
1643688	order	2|203691|203692|1643688	Bacteria|Spirochaetota|Spirochaetia|Leptospirales	2.2129		
204441	order	2|1224|28211|204441	Bacteria|Pseudomonadota|Alphaproteobacteria|Rhodospirillales	0.4676		
213849	order	2|29547|3031852|213849	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales	21.4374		
356	order	2|1224|28211|356	Bacteria|Pseudomonadota|Alphaproteobacteria|Hyphomicrobiales	3.8904		
200644	order	2|976|117743|200644	Bacteria|Bacteroidota|Flavobacteriia|Flavobacteriales	10.1680		
72273	order	2|1224|1236|72273	Bacteria|Pseudomonadota|Gammaproteobacteria|Thiotrichales	0.7532		
68933	order	2|1297|188787|68933	Bacteria|Deinococcota|Deinococci|Thermales	1.9828		
80840	order	2|1224|28216|80840	Bacteria|Pseudomonadota|Betaproteobacteria|Burkholderiales	9.0772		
72274	order	2|1224|1236|72274	Bacteria|Pseudomonadota|Gammaproteobacteria|Pseudomonadales	16.8990		
1903409	family	2|1224|1236|91347|1903409	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Erwiniaceae	3.4055		
267890	family	2|1224|1236|135622|267890	Bacteria|Pseudomonadota|Gammaproteobacteria|Alteromonadales|Shewanellaceae	3.1647		
31	family	2|2818505|32015|29|31	Bacteria|Myxococcota|Myxococcia|Myxococcales|Myxococcaceae	4.6306		
49	family	2|2818505||3031712|49	Bacteria|Myxococcota||Polyangiales|Polyangiaceae	2.1299		
32033	family	2|1224|1236|135614|32033	Bacteria|Pseudomonadota|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae	8.5526		
126	family	2|203682|203683|112|126	Bacteria|Planctomycetota|Planctomycetia|Planctomycetales|Planctomycetaceae	0.5295		
1643685	family	2|203691|203692|136|1643685	Bacteria|Spirochaetota|Spirochaetia|Spirochaetales|Borreliaceae	2.6487		
2845253	family	2|203691|203692|136|2845253	Bacteria|Spirochaetota|Spirochaetia|Spirochaetales|Treponemataceae	3.5350		
