@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	100.0000		
29547	phylum	2|29547	Bacteria|Campylobacterota	7.1556		
1224	phylum	2|1224	Bacteria|Pseudomonadota	15.5406		
1239	phylum	2|1239	Bacteria|Bacillota	77.3038		
3031852	class	2|29547|3031852	Bacteria|Campylobacterota|Epsilonproteobacteria	7.1556		
1236	class	2|1224|1236	Bacteria|Pseudomonadota|Gammaproteobacteria	15.5406		
91061	class	2|1239|91061	Bacteria|Bacillota|Bacilli	40.4377		
186801	class	2|1239|186801	Bacteria|Bacillota|Clostridia	36.8660		
213849	order	2|29547|3031852|213849	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales	7.1556		
2887326	order	2|1224|1236|2887326	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales	5.6359		
91347	order	2|1224|1236|91347	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales	9.9047		
1385	order	2|1239|91061|1385	Bacteria|Bacillota|Bacilli|Bacillales	12.6512		
186826	order	2|1239|91061|186826	Bacteria|Bacillota|Bacilli|Lactobacillales	27.7865		
186802	order	2|1239|186801|186802	Bacteria|Bacillota|Clostridia|Eubacteriales	36.8660		
72293	family	2|29547|3031852|213849|72293	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	7.1556		
468	family	2|1224|1236|2887326|468	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae	5.6359		
543	family	2|1224|1236|91347|543	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	9.9047		
90964	family	2|1239|91061|1385|90964	Bacteria|Bacillota|Bacilli|Bacillales|Staphylococcaceae	8.4900		
1300	family	2|1239|91061|186826|1300	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae	20.9377		
186817	family	2|1239|91061|1385|186817	Bacteria|Bacillota|Bacilli|Bacillales|Bacillaceae	4.1612		
31979	family	2|1239|186801|186802|31979	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae	36.8660		
33958	family	2|1239|91061|186826|33958	Bacteria|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae	6.8489		
209	genus	2|29547|3031852|213849|72293|209	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter	7.1556		
469	genus	2|1224|1236|2887326|468|469	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter	5.6359		
561	genus	2|1224|1236|91347|543|561	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Escherichia	7.6317		
1279	genus	2|1239|91061|1385|90964|1279	Bacteria|Bacillota|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus	8.4900		
1301	genus	2|1239|91061|186826|1300|1301	Bacteria|Bacillota|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus	20.9377		
1386	genus	2|1239|91061|1385|186817|1386	Bacteria|Bacillota|Bacilli|Bacillales|Bacillaceae|Bacillus	4.1612		
1485	genus	2|1239|186801|186802|31979|1485	Bacteria|Bacillota|Clostridia|Eubacteriales|Clostridiaceae|Clostridium	36.8660		
1578	genus	2|1239|91061|186826|33958|1578	Bacteria|Bacillota|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus	6.8489		
547	genus	2|1224|1236|91347|543|547	Bacteria|Pseudomonadota|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae|Enterobacter	2.2730		
210	species	2|29547|3031852|213849|72293|209|210	Bacteria|Campylobacterota|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae|Helicobacter|Helicobacter pylori	7.1556		
470	species	2|1224|1236|2887326|468|469|470	Bacteria|Pseudomonadota|Gammaproteobacteria|Moraxellales|Moraxellaceae|Acinetobacter|Acinetobacter baumannii	5.6359		
