@SampleID:
@Version:0.9.1
@Ranks:superkingdom|phylum|class|order|family|genus|species|strain

@@TAXID	RANK	TAXPATH	TAXPATHSN	PERCENTAGE	_CAMI_genomeID	_CAMI_OTU
2	superkingdom	2	Bacteria	100.0000		
1239	phylum	2|1239	Bacteria|Firmicutes	54.5866		
1224	phylum	2|1224	Bacteria|Proteobacteria	41.2578		
1117	phylum	2|1117	Bacteria|Cyanobacteria	4.1557		
91061	class	2|1239|91061	Bacteria|Firmicutes|Bacilli	19.3427		
186801	class	2|1239|186801	Bacteria|Firmicutes|Clostridia	35.2439		
1236	class	2|1224|1236	Bacteria|Proteobacteria|Gammaproteobacteria	28.8114		
29547	class	2|1224|29547	Bacteria|Proteobacteria|Epsilonproteobacteria	10.0748		
28221	class	2|1224|28221	Bacteria|Proteobacteria|Deltaproteobacteria	2.3716		
186826	order	2|1239|91061|186826	Bacteria|Firmicutes|Bacilli|Lactobacillales	8.1039		
186802	order	2|1239|186801|186802	Bacteria|Firmicutes|Clostridia|Clostridiales	35.2439		
91347	order	2|1224|1236|91347	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales	19.0215		
1385	order	2|1239|91061|1385	Bacteria|Firmicutes|Bacilli|Bacillales	11.2388		
72274	order	2|1224|1236|72274	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales	9.7898		
213849	order	2|1224|29547|213849	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales	10.0748		
1150	order	2|1117||1150	Bacteria|Cyanobacteria||Oscillatoriales	4.1557		
213115	order	2|1224|28221|213115	Bacteria|Proteobacteria|Deltaproteobacteria|Desulfovibrionales	2.3716		
1300	family	2|1239|91061|186826|1300	Bacteria|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae	8.1039		
31979	family	2|1239|186801|186802|31979	Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae	35.2439		
543	family	2|1224|1236|91347|543	Bacteria|Proteobacteria|Gammaproteobacteria|Enterobacterales|Enterobacteriaceae	19.0215		
186817	family	2|1239|91061|1385|186817	Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae	6.1435		
468	family	2|1224|1236|72274|468	Bacteria|Proteobacteria|Gammaproteobacteria|Pseudomonadales|Moraxellaceae	9.7898		
72293	family	2|1224|29547|213849|72293	Bacteria|Proteobacteria|Epsilonproteobacteria|Campylobacterales|Helicobacteraceae	10.0748		
1892252	family	2|1117||1150|1892252	Bacteria|Cyanobacteria||Oscillatoriales|Microcoleaceae	4.1557		
