name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4701	2293	0.0187354
Acinetobacter baumannii	470	species	11893028	11584	6407	0.0114785
Escherichia coli	562	species	5070115	2837	2820	0.00734323
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.154289
Streptococcus pneumoniae	1313	species	2160842	4155	1778	0.0175079
Clostridium butyricum	1492	species	9410692	11568	568	0.0182227
Clostridium perfringens	1502	species	3256683	1316	1224	0.0174452
Clostridium septicum	1504	species	6803993	10191	2359	0.0311735
Clostridium sporogenes	1509	species	12562466	13099	8217	0.0155368
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.191544
Enterobacter hormaechei	158836	species	4670207	3708	3702	0.0287476
Streptococcus pneumoniae TIGR4	170187	strain	2160842	885	860	0.00494319
Clostridium perfringens ATCC 13124	195103	strain	3256683	2485	2393	0.0397157
Bacillus anthracis str. Ames	198094	strain	5227293	6574	179	0.067705
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.166391
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6492	97	0.0300659
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3330	3329	0.0102591
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2866	2849	0.00510432
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4814	4814	0.124897
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3408	3408	0.0196028
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3332	3332	0.0192916
