Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/001/020/205/GCF_001020205.1_genomic.fna.gz	13.7206	13.8960	99.73	2.801	NA-NA	HIGH	NA-NA	3	2.801	3627/3943	99.73	5	NZ_CP011663.1 Clostridium sporogenes strain DSM 795 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/009/759/685/GCF_009759685.1_genomic.fna.gz	10.7082	10.4456	99.98	2.186	99.92-100.13	2.186	1.90-2.30	2	2.451	3347/3793	99.60	0	NZ_CP046654.1 Acinetobacter baumannii strain ATCC 19606 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/003/606/265/GCF_003606265.1_genomic.fna.gz	9.0076	7.4971	100.00	1.839	99.95-100.17	1.839	1.69-2.01	2	2.300	2602/3037	99.50	5	NZ_CP023671.1 Clostridium septicum strain DSM 7534 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/001/457/635/GCF_001457635.1_genomic.fna.gz	8.5598	4.4172	99.86	1.747	99.75-99.99	1.747	1.56-1.91	2	2.091	1522/1926	99.24	0	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/000/742/895/GCF_000742895.1_genomic.fna.gz	7.3142	9.8451	99.71	1.493	99.61-99.79	1.493	1.40-1.58	2	1.859	3726/5266	98.89	0	NZ_CP007666.1 Bacillus anthracis str. Vollum chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/006/742/065/GCF_006742065.1_genomic.fna.gz	6.5703	7.5571	100.00	1.341	99.89-100.13	1.341	1.26-1.45	2	1.854	3254/4374	99.05	10	NZ_AP019716.1 Clostridium butyricum strain NBRC 13949 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/003/697/165/GCF_003697165.2_genomic.fna.gz	6.4109	7.8906	97.97	1.309	97.82-98.16	1.309	1.16-1.41	2	1.957	1817/4698	96.98	44	NZ_CP033092.2 Escherichia coli DSM 30083 = JCM 1649 = ATCC 11775 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/900/478/295/GCF_900478295.1_genomic.fna.gz	6.2362	2.5626	100.00	1.273	99.96-100.37	1.273	1.14-1.46	2	1.953	1169/1536	99.12	0	NZ_LS483488.1 Helicobacter pylori NCTC 11637 = CCUG 17874 = ATCC 43504 strain NCTC 11637 chromosome 1, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/000/013/285/GCF_000013285.1_genomic.fna.gz	5.8856	4.6856	99.84	1.201	99.69-99.99	1.201	1.10-1.31	1	1.688	2026/3045	98.69	5	NC_008261.1 Clostridium perfringens ATCC 13124, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/001/027/105/GCF_001027105.1_genomic.fna.gz	5.2163	3.5482	99.99	1.065	99.79-100.15	1.065	0.99-1.17	1	1.677	1753/2680	98.64	0	NZ_CP011526.1 Staphylococcus aureus strain DSM 20231 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/001/875/655/GCF_001875655.1_genomic.fna.gz	5.1886	6.2027	99.98	1.059	99.81-100.10	1.059	0.99-1.14	1	1.847	3008/4636	98.61	0	NZ_MKEQ01000004.1 Enterobacter hormaechei ATCC 49162 map unlocalized plasmid pATCC_49162, whole genome shotgun sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCA/018/457/135/GCA_018457135.1_genomic.fna.gz	4.6820	8.2652	99.87	0.956	99.73-99.97	0.956	0.90-1.01	1	1.561	4019/6806	98.32	0	JAGGDU010000001.1 Trichodesmium erythraeum GBRTRLIN201 LIN_NODE_1019_length_5856_cov_15.669712, whole genome shotgun sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/001/729/745/GCF_001729745.1_genomic.fna.gz	4.4730	5.1158	99.09	0.913	98.87-99.26	0.913	0.83-0.99	1	1.612	1997/4435	97.46	897	NZ_CP017186.1 Enterobacter hormaechei subsp. hoffmannii strain DSM 14563 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/000/340/885/GCF_000340885.1_genomic.fna.gz	3.5524	5.7892	100.00	0.725	99.96-100.29	0.725	0.67-0.78	1	1.444	3395/6315	98.02	0	NC_020291.1 Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	gtdb_genomes_reps_r214/database/GCF/000/195/755/GCF_000195755.1_genomic.fna.gz	2.4743	2.2822	100.00	0.505	99.72-100.33	0.505	0.45-0.56	1	1.293	1415/3491	97.13	0	NC_002937.3 Desulfovibrio vulgaris str. Hildenborough, complete sequence
