name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4734	2260	0.0169871
Acinetobacter baumannii	470	species	11893028	22542	636	0.0855366
Escherichia coli	562	species	5070115	3521	3500	0.0064906
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1847	1847	0.0448917
Streptococcus pneumoniae	1313	species	2160842	4409	2021	0.0952966
Clostridium butyricum	1492	species	9410692	11728	408	0.104846
Clostridium perfringens	1502	species	3256683	3146	3050	0.0440309
Clostridium septicum	1504	species	6803993	10830	1720	0.080926
Clostridium sporogenes	1509	species	12562466	26161	1614	0.0748854
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2966	2966	0.122873
Enterobacter hormaechei	158836	species	4670207	3683	3677	0.0185046
Streptococcus pneumoniae TIGR4	170187	strain	2160842	534	528	0.00114541
Clostridium perfringens ATCC 13124	195103	strain	3256683	659	563	0.000853311
Bacillus anthracis str. Ames	198094	strain	5227293	6546	163	0.127507
Trichodesmium erythraeum IMS101	203124	strain	7750108	6705	6705	0.0342808
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6508	125	0.080328
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2278	2278	0.000808294
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3235	3214	0.00610273
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4814	4814	0.0507427
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3468	3468	0.00233046
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3297	3297	0.000633309
