genome_ID	OTU	NCBI_ID	novelty_category
GCF_000685705.1_ASM68570v1	210	210	known_strain
GCF_006337405.1_ASM633740v1	210	210	known_strain
GCF_007844035.1_ASM784403v1	210	210	known_strain
GCF_003431865.1_ASM343186v1	470	470	known_strain
GCF_006385075.1_ASM638507v1	470	470	known_strain
GCF_009455505.1_ASM945550v1	470	470	known_strain
GCF_003018555.1_ASM301855v1	562	562	known_strain
GCF_003017915.1_ASM301791v1	562	562	known_strain
GCF_003790525.1_ASM379052v1	562	562	known_strain
GCF_001640905.1_ASM164090v1	1280	1280	known_strain
GCF_000817005.1_ASM81700v1	1313	1313	known_strain
GCF_002843545.1_ASM284354v1	1313	1313	known_strain
GCF_003351525.1_ASM335152v1	1313	1313	known_strain
GCF_000832965.1_ASM83296v1	1392	1392	known_strain
GCF_003410355.1_ASM341035v1	1392	1392	known_strain
GCF_001465175.1_ASM146517v1	1492	1492	known_strain
GCF_001456065.2_ASM145606v2	1492	1492	known_strain
GCF_016026995.1_ASM1602699v1	1502	1502	known_strain
GCF_018135545.1_ASM1813554v1	1502	1502	known_strain
GCF_003606265.1_ASM360626v1	1504	1504	known_strain
GCF_004101825.1_ASM410182v1	1504	1504	known_strain
GCF_001020205.1_ASM102020v1	1509	1509	known_strain
GCF_002865785.1_ASM286578v1	1509	1509	known_strain
GCF_020099295.1_ASM2009929v1	1509	1509	known_strain
GCF_003013635.1_ASM301363v1	1513	1513	known_strain
GCF_003952845.1_ASM395284v1	1579	1579	known_strain
GCF_002003305.1_ASM200330v1	36745	36745	known_strain
GCF_003073995.1_ASM307399v1	158836	158836	known_strain
GCF_003408575.1_ASM340857v1	158836	158836	known_strain
GCF_008505035.1_ASM850503v1	158836	158836	known_strain
