absolute_path	exists	kind	referenced_by
/home/wenhai/.local/custom_lib64/libstdc++.so.6	true	file	classification/30strains_legacy.yaml
/home/wenhai/miniconda3/bin/conda	true	file	common.yaml
/home/wenhai/miniconda3/envs/dadec_eval/bin/python	true	file	classification/30strains_legacy.yaml;common.yaml;runs/drosophila/assembly/config.yaml
/home/wenhai/miniconda3/envs/hero/bin/fmlrc2	true	file	common.yaml
/home/wenhai/miniconda3/envs/hero/bin/fmlrc2-convert	true	file	common.yaml
/home/wenhai/miniconda3/envs/hero/bin/python	true	file	common.yaml
/home/wenhai/miniconda3/envs/hero/bin/ropebwt2	true	file	common.yaml
/home/wenhai/miniconda3/envs/vechat/bin/dechat	true	file	common.yaml
/home/wenhai/miniconda3/envs/vechat/bin/vechat	true	file	common.yaml
/home/work/wenhai/bin/seqkit	true	file	common.yaml
/home/work/wenhai/dadec	true	directory	common.yaml;legacy_single_dataset.yaml;runs/arabidopsis_sim/hifieval/32x_colormap_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_dadec_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_f_hero_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_fmlrc_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_l_hero_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_lordec_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_proovread_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_r_hero_hifieval.yaml;runs/arabidopsis_sim/hifieval/32x_ratatosk_hifieval.yaml;runs/drosophila/assembly/config.yaml;runs/ecoli3/hifieval/20x_colormap_hifieval.yaml;runs/ecoli3/hifieval/20x_dadec_hifieval.yaml;runs/ecoli3/hifieval/20x_f_hero_hifieval.yaml;runs/ecoli3/hifieval/20x_fmlrc_hifieval.yaml;runs/ecoli3/hifieval/20x_l_hero_hifieval.yaml;runs/ecoli3/hifieval/20x_lordec_hifieval.yaml;runs/ecoli3/hifieval/20x_proovread_hifieval.yaml;runs/ecoli3/hifieval/20x_r_hero_hifieval.yaml;runs/ecoli3/hifieval/20x_ratatosk_hifieval.yaml
/home/work/wenhai/dadec/benchmark/config/datasets/ecoli_error_genome_to_id.tsv	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors/hiseq/hiseq_reads.fastq.gz	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors/long/sim_ecoli_long_error_20x_0001.fastq	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors/miseq/miseq_reads.fastq.gz	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors/nextseq/nextseq_reads.fastq.gz	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors/novaseq/novaseq_reads.fastq.gz	true	file	datasets/ecoli_error.yaml;datasets/ecoli_error_tech.yaml
/home/work/wenhai/dadec/data/errors_ecoli3/hiseq/hiseq_reads.fastq.gz	false	missing	datasets/ecoli3_error.yaml
/home/work/wenhai/dadec/data/errors_ecoli3/long/sim_ecoli3_long_error_20x.fastq	false	missing	datasets/ecoli3_error.yaml
/home/work/wenhai/dadec/data/errors_ecoli3/miseq/miseq_reads.fastq.gz	false	missing	datasets/ecoli3_error.yaml
/home/work/wenhai/dadec/data/errors_ecoli3/nextseq/nextseq_reads.fastq.gz	false	missing	datasets/ecoli3_error.yaml
/home/work/wenhai/dadec/data/errors_ecoli3/novaseq/novaseq_reads.fastq.gz	false	missing	datasets/ecoli3_error.yaml
/home/work/wenhai/dadec/data/errors_ecoli3_readcount/hiseq/hiseq_reads.fastq.gz	true	file	datasets/ecoli3_error_readcount.yaml
/home/work/wenhai/dadec/data/errors_ecoli3_readcount/long/sim_ecoli3_long_error_20x.fastq	true	file	datasets/ecoli3_error_readcount.yaml
/home/work/wenhai/dadec/data/errors_ecoli3_readcount/miseq/miseq_reads.fastq.gz	true	file	datasets/ecoli3_error_readcount.yaml
/home/work/wenhai/dadec/data/errors_ecoli3_readcount/nextseq/nextseq_reads.fastq.gz	true	file	datasets/ecoli3_error_readcount.yaml
/home/work/wenhai/dadec/data/errors_ecoli3_readcount/novaseq/novaseq_reads.fastq.gz	true	file	datasets/ecoli3_error_readcount.yaml
/home/work/wenhai/dadec/tools/proovread/bin/proovread	true	file	common.yaml
/home/work/wenhai/wh-github/DADEC/DADEC	true	file	common.yaml;legacy_single_dataset.yaml
/home/work/wenhai/wh-github/DADEC/DADEC_DEV/DADEC_dev	true	file	overlays/dadec_dev.yaml
/home/yczhang/zyc/HERO/HERO/bin/HERO.py	true	file	common.yaml
/home/yczhang/zyc/final_experiment/canu/build/bin/canu	true	file	runs/drosophila/assembly/config.yaml
/home/yczhang/zyc/final_experiment/centrifuge	true	directory	classification/30strains_legacy.yaml
/home/yczhang/zyc/final_experiment/colormap/runCorr.sh	true	file	common.yaml
/home/yczhang/zyc/final_experiment/hifiasm/hifiasm	true	file	runs/drosophila/assembly/config.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/F_HERO.fa	true	file	runs/100strains_legacy/30x_f_hero.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/L_HERO.fa	true	file	runs/100strains_legacy/30x_l_hero.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/R_HERO.fa	true	file	runs/100strains_legacy/30x_r_hero.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/colormap_sp.fa	true	file	runs/100strains_legacy/30x_colormap.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/fmlrc1.fa	true	file	runs/100strains_legacy/30x_fmlrc.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/gra2k31_msa_gra1k31.fa	true	file	runs/100strains_legacy/30x_dadec.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/lordec1.fa	true	file	runs/100strains_legacy/30x_lordec.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/proovread.fa	true	file	runs/100strains_legacy/30x_proovread.yaml
/home/yczhang/zyc/final_result/100strains/100_cor/ratatosk1.fa	true	file	runs/100strains_legacy/30x_ratatosk.yaml
