#HP Len	OC rate	UC rate
4	0.7153703730282893	0.5930848391772997
5	0.712538926543323	0.5929657446418758
6	0.6791854006876488	0.5665167944988099
7	0.6681081081081081	0.5335135135135135
8	0.6580766813324953	0.5153991200502829
9	0.7640117994100295	0.6263520157325467
10	0.7606837606837606	0.6175213675213675
11	0.8321678321678322	0.6818181818181818
12	0.7482993197278912	0.5782312925170068
13	0.7910447761194029	0.6417910447761194
14	0.7931034482758621	0.6206896551724138
15	0.7627118644067796	0.6779661016949152
16	0.7837837837837838	0.7297297297297297
17	0.9375	0.8125
18	0.9285714285714286	0.8571428571428571
19	1.0	1.0
20	1.0	1.0
21	1.0	0.8
22	0.6666666666666666	0.6666666666666666
23	0	0
24	1.0	1.0
25	1.0	0.0
26	0	0
27	1.0	1.0
28	1.0	1.0
29	1.0	1.0
30	1.0	1.0
31	1.0	1.0
32	1.0	1.0
33	0	0
34	1.0	1.0
35	1.0	1.0
36	1.0	1.0
37	0	0
38	1.0	1.0
