genome_ID	OTU	NCBI_ID	novelty_category
GCF_000006745.1	1	243277	known
GCF_000006765.1	2	208964	known
GCF_000006885.1	3	170187	known
GCF_000006945.2	4	99287	known
GCF_000007125.1	5	224914	known
GCF_000007505.1	6	204722	known
GCF_000007785.1	7	226185	known
GCF_000007845.1	8	198094	known
GCF_000008445.1	9	261594	known
GCF_000008485.1	10	272624	known
GCF_000008865.2	11	386585	known
GCF_000009045.1	12	224308	known
GCF_000009065.1	13	214092	known
GCF_000009085.1	14	192222	known
GCF_000011325.1	15	196627	known
GCF_000013285.1	16	195103	known
GCF_000013425.1	17	93061	known
GCF_000014265.1	18	203124	known
GCF_000195755.1	19	882	known
GCF_000196035.1	20	169963	known
GCF_000196335.1	21	196627	known
GCF_000215745.1	22	1028307	known
GCF_000290615.1	23	1121088	known
GCF_000340885.1	24	931276	known
GCF_000369385.1	25	575584	known
GCF_000387565.1	26	1217420	known
GCF_000469365.1	27	649758	known
GCF_000689235.1	28	342616	known
GCF_000829395.1	29	1291742	known
GCF_000832905.1	30	1121088	known
GCF_000931755.1	31	470	known
GCF_000973705.1	32	1509	known
GCF_001020205.1	33	1509	known
GCF_001182285.1	34	28450	known
GCF_001431675.1	35	40324	known
GCF_001433855.1	36	649758	known
GCF_001457635.1	37	1313	known
GCF_001457655.1	38	727	known
GCF_001591065.1	39	1219061	known
GCF_001591525.1	40	1348623	known
GCF_001598475.1	41	1220570	known
GCF_001598695.1	42	1218097	known
GCF_001598895.1	43	1223504	known
GCF_001679535.1	44	1313	known
GCF_001729745.1	45	1812934	known
GCF_001729785.1	46	1296536	known
GCF_001888925.1	47	1217420	known
GCF_002008145.1	48	1509	known
GCF_002058765.1	49	562	known
GCF_002224265.1	50	1219061	known
GCF_003050665.1	51	210	known
GCF_003606265.1	52	1504	known
GCF_004295525.1	53	210	known
GCF_006094375.1	54	1282	known
GCF_006094455.1	55	180434	known
GCF_006094495.1	56	1348623	known
GCF_006538545.1	57	28450	known
GCF_006739205.1	58	1309	known
GCF_006742065.1	59	1492	known
GCF_006742205.1	60	1282	known
GCF_009035845.1	61	470	known
GCF_013004645.1	62	40324	known
GCF_013009385.1	63	224308	known
GCF_014131755.1	64	818	known
GCF_014131795.1	65	1492	known
GCF_016027375.1	66	1502	known
GCF_016103195.1	67	818	known
GCF_017090145.1	68	470	known
GCF_019048125.1	69	548	known
GCF_019048245.1	70	158836	known
GCF_019048385.1	71	549	known
GCF_019048645.1	72	1309	known
GCF_020099175.1	73	1463165	known
GCF_020115515.1	74	1463165	known
GCF_020115535.1	75	571	known
GCF_020525685.1	76	1463164	known
GCF_020525925.1	77	1667327	known
GCF_020736045.1	78	727	known
GCF_020736665.1	79	1504	known
GCF_022453665.1	80	818	known
GCF_022630555.1	81	1402	known
GCF_022869645.1	82	487	known
GCF_024618585.1	83	470	known
GCF_025998455.1	84	210	known
GCF_030297255.1	85	28450	known
GCF_034478925.1	86	1402	known
GCF_037213995.1	87	40324	known
GCF_040560265.1	88	180434	known
GCF_044360185.1	89	1309	known
GCF_900106225.1	90	287	known
GCF_900186865.1	91	40324	known
GCF_900444725.1	92	470	known
GCF_900445595.1	93	818	known
GCF_900458605.1	94	1282	known
GCF_900461305.1	95	1509	known
GCF_900475095.1	96	1309	known
GCF_900636985.1	97	571	known
GCF_900638555.1	98	487	known
GCF_965135875.1	99	1309	known
GCF_965138055.1	100	1282	known
