#HP Len	OC rate	UC rate
4	0.5552605210420841	0.3952070808283233
5	0.5340841085903922	0.37261302431858984
6	0.5009871668311945	0.34090161237249095
7	0.42555366269165246	0.2514480408858603
8	0.44127243066884175	0.266721044045677
9	0.4806763285024155	0.2898550724637681
10	0.5747422680412371	0.38144329896907214
11	0.5739910313901345	0.452914798206278
12	0.5423728813559322	0.3728813559322034
13	0.5849056603773585	0.4339622641509434
14	0.5671641791044776	0.44776119402985076
15	0.7441860465116279	0.32558139534883723
16	0.6666666666666666	0.4583333333333333
17	0.5833333333333334	0.3055555555555556
18	0.6153846153846154	0.6153846153846154
19	0.6666666666666666	0.6666666666666666
20	1.0	0.8571428571428571
21	0.6666666666666666	0.6666666666666666
22	1.0	0.6666666666666666
23	0	0
24	0	0
25	0	0
26	0	0
27	0.6	0.6
28	0.5	0.5
29	1.0	0.3333333333333333
30	0.6	0.6
31	0.75	0.25
32	1.0	1.0
33	0	0
34	1.0	0.5
35	1.0	0.0
36	1.0	0.8
37	0	0
38	1.0	1.0
