dataset_label	dataset_id	short_coverage	method	method_id	run_id	software_revision	config_match	candidate_status	expected_parameters	actual_parameters	evaluation_tool	ambiguity_score	report_status	resource_status	CPU(h)	WallTime(h)	Memory(GB)	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	contigs_number	residual_errors_per_100_kbp	metric_rank_within_config	is_metric_best	is_recommended	selection_reason	run_config	provenance	report	resource_log
30s_ua	30strains_legacy	10x	DADEC	dadec	30strains_legacy_10x_dadec_dev_fix_a_k21_k21_s1_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	metaquast	0.9999	present	present	19.108	0.998	39.840	368.06	52.31	99.314	2489	83870	420.37	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains_legacy/10x_dadec.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_dadec_dev_fix_a_k21_k21_s1_a2_a1/output/short_10x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/short_10x/dadec/resources.time.txt
30s_ua	30strains_legacy	10x	FMLRC	fmlrc	30strains_legacy_10x_fmlrc_original_k21_k31	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	metaquast	0.9999	present	present	1.686	0.050	1.952	1248.38	2680.5	99.63	6388	83863	3928.88	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_fmlrc.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_fmlrc_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_fmlrc_original_k21_k31/output/short_10x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_fmlrc_original_k21_k31/benchmark/short_10x/fmlrc/resources.time.txt
30s_ua	30strains_legacy	10x	F_HERO	f_hero	30strains_legacy_10x_f_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":31,""hero_iterations"":1,""hero_split"":10}"	"{""fmlrc_k1"":21,""fmlrc_k2"":31,""hero_iterations"":1,""hero_split"":10}"	metaquast	0.9999	present	present	13.072	0.340	11.646	2299.62	1221.79	99.335	66358	83862	3521.41	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_f_hero.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_f_hero_original_k21_k31_hs10_hi1/output/short_10x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/f_hero/resources.time.txt
30s_ua	30strains_legacy	10x	Ratatosk	ratatosk	30strains_legacy_10x_ratatosk_original_k21_k31	original_or_legacy	exact	complete	"{""ratatosk_k1"":21,""ratatosk_k2"":31}"	"{""ratatosk_k1"":21,""ratatosk_k2"":31}"	metaquast	0.9999	present	present	7.668	0.167	3.180	456.09	1298.07	99.699	470	83862	1754.16	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_ratatosk.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_ratatosk_original_k21_k31/output/short_10x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_ratatosk_original_k21_k31/benchmark/short_10x/ratatosk/resources.time.txt
30s_ua	30strains_legacy	10x	R_HERO	r_hero	30strains_legacy_10x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":21,""ratatosk_k2"":31}"	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":21,""ratatosk_k2"":31}"	metaquast	0.9999	present	present	24.158	0.644	11.273	1230.13	577.52	99.14	18697	83859	1807.65	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_r_hero.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_r_hero_original_k21_k31_hs10_hi1/output/short_10x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/r_hero/resources.time.txt
30s_ua	30strains_legacy	10x	LoRDEC	lordec	30strains_legacy_10x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	metaquast	0.9999	present	present	8.552	0.210	5.123	853.87	1852.19	99.557	687	83860	2706.06	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_lordec.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_lordec_original_k21_ls5/output/short_10x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_lordec_original_k21_ls5/benchmark/short_10x/lordec/resources.time.txt
30s_ua	30strains_legacy	10x	L_HERO	l_hero	30strains_legacy_10x_l_hero_original_k21_ls5_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	metaquast	0.9999	present	present	28.215	0.702	10.920	805.97	409.79	98.592	16859	83859	1215.76	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_l_hero.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_l_hero_original_k21_ls5_hs10_hi1/output/short_10x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/short_10x/l_hero/resources.time.txt
30s_ua	30strains_legacy	10x	CoLoRMap	colormap	30strains_legacy_10x_colormap_original	original_or_legacy	exact	complete	{}	{}	metaquast	0.9999	present	present	36.621	2.658	50.248	2552.99	9207.8	99.731	271	83880	11760.79	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_colormap.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_colormap_original/output/short_10x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_colormap_original/benchmark/short_10x/colormap/resources.time.txt
30s_ua	30strains_legacy	10x	Proovread	proovread	30strains_legacy_10x_proovread_original	original_or_legacy	exact	complete	{}	{}	metaquast	0.9999	present	present	111.354	3.500	24.950	648.25	205.83	99.076	182	83859	854.08	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains_legacy/10x_proovread.yaml	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_proovread_original/output/short_10x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_10x/30strains_legacy_10x_proovread_original/benchmark/short_10x/proovread/resources.time.txt
30s_ua	30strains_legacy	20x	DADEC	dadec	30strains_legacy_20x_dadec_dev_fix_a_k21_k21_s1_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":1,""dadec_threshold"":0.08}"	metaquast	0.9999	present	present	38.627	2.334	78.896	205.24	19.86	99.728	457	83876	225.10	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains_legacy/20x_dadec.yaml	benchmark/runs/30strains_legacy_20x/30strains_legacy_20x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_legacy_20x/30strains_legacy_20x_dadec_dev_fix_a_k21_k21_s1_a2_a1/output/short_20x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_legacy_20x/30strains_legacy_20x_dadec_dev_fix_a_k21_k21_s1_a2_a1/benchmark/short_20x/dadec/resources.time.txt
