dataset_label	dataset_id	short_coverage	method	method_id	run_id	software_revision	config_match	candidate_status	expected_parameters	actual_parameters	evaluation_tool	ambiguity_score	report_status	resource_status	CPU(h)	WallTime(h)	Memory(GB)	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	contigs_number	residual_errors_per_100_kbp	metric_rank_within_config	is_metric_best	is_recommended	selection_reason	run_config	provenance	report	resource_log
arabidopsis	arabidopsis	5x	DADEC	dadec	arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	quast	NA	present	present	51.261	1.452	26.151	830.78	839.66	98.322	181474	545969	1670.44	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/5x_dadec.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_5x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_5x/dadec/resources.time.txt
arabidopsis	arabidopsis	5x	FMLRC	fmlrc	arabidopsis_5x_fmlrc_original_k21_k59	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59}"	quast	NA	present	present	13.789	0.235	1.545	172.0	165.18	8.469	3360	545434	337.18	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_fmlrc.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/output/short_5x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/benchmark/short_5x/fmlrc/resources.time.txt
arabidopsis	arabidopsis	5x	F_HERO	f_hero	arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	"{""fmlrc_k1"":21,""fmlrc_k2"":59,""hero_iterations"":3,""hero_split"":10}"	quast	NA	present	present	1253.723	33.813	34.257	403.81	311.92	43.672	49620	541345	715.73	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_f_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/output/short_5x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_5x/f_hero/resources.time.txt
arabidopsis	arabidopsis	5x	Ratatosk	ratatosk	arabidopsis_5x_ratatosk_original_k21_k63	original_or_legacy	exact	complete	"{""ratatosk_k1"":21,""ratatosk_k2"":63}"	"{""ratatosk_k1"":21,""ratatosk_k2"":63}"	quast	NA	present	present	125.348	2.793	3.388	822.52	1014.74	9.41	9220	545731	1837.26	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_ratatosk.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/output/short_5x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/benchmark/short_5x/ratatosk/resources.time.txt
arabidopsis	arabidopsis	5x	R_HERO	r_hero	arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3	original_or_legacy	exact	complete	"{""hero_iterations"":3,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	"{""hero_iterations"":3,""hero_split"":10,""ratatosk_k1"":31,""ratatosk_k2"":63}"	quast	NA	present	present	1063.072	20.879	34.042	980.92	870.4	53.186	42990	542587	1851.32	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_r_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/output/short_5x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/benchmark/short_5x/r_hero/resources.time.txt
arabidopsis	arabidopsis	5x	LoRDEC	lordec	arabidopsis_5x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	59.490	1.185	4.795	430.14	279.2	13.087	15843	545578	709.34	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_lordec.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/output/short_5x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/benchmark/short_5x/lordec/resources.time.txt
arabidopsis	arabidopsis	5x	L_HERO	l_hero	arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3	original_or_legacy	exact	complete	"{""hero_iterations"":3,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	"{""hero_iterations"":3,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	quast	NA	present	present	1102.856	25.139	32.800	685.99	481.04	50.26	62725	540288	1167.03	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_l_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/output/short_5x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/benchmark/short_5x/l_hero/resources.time.txt
arabidopsis	arabidopsis	5x	CoLoRMap	colormap	arabidopsis_5x_colormap_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	11.461	3.858	86.216	1311.91	1716.79	97.153	41007	545914	3028.70	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_colormap.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/output/short_5x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/benchmark/short_5x/colormap/resources.time.txt
arabidopsis	arabidopsis	5x	Proovread	proovread	arabidopsis_5x_proovread_original	original_or_legacy	exact	complete	{}	{}	quast	NA	present	present	721.325	18.497	46.158	1662.85	2390.36	96.584	19477	448014	4053.21	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_proovread.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/output/short_5x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/benchmark/short_5x/proovread/resources.time.txt
arabidopsis	arabidopsis	10x	DADEC	dadec	arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":39,""dadec_k2"":39,""dadec_split"":1,""dadec_threshold"":0.1}"	quast	NA	present	present	63.964	1.194	27.070	536.62	341.69	99.506	105195	545768	878.31	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/10x_dadec.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_10x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_10x/dadec/resources.time.txt
