#HP Len	OC rate	UC rate
4	0.5293923282568862	0.4879997596948124
5	0.5023442409009619	0.473198317946735
6	0.4608930602957907	0.448094425483504
7	0.4042928550426345	0.39576595119082625
8	0.4383934649421375	0.43567052416609936
9	0.5853403141361256	0.5089005235602094
10	0.6172566371681416	0.5929203539823009
11	0.6319702602230484	0.5278810408921933
12	0.6014492753623188	0.6086956521739131
13	0.5441176470588235	0.47058823529411764
14	0.6352941176470588	0.6235294117647059
15	0.6730769230769231	0.6346153846153846
16	0.6875	0.625
17	0.7560975609756098	0.43902439024390244
18	0.5	0.7142857142857143
19	0.7142857142857143	0.7142857142857143
20	1.0	1.0
21	0.8333333333333334	0.8333333333333334
22	0.6666666666666666	0.6666666666666666
23	0	0
24	0.0	1.0
25	1.0	0.0
26	0	0
27	1.0	1.0
28	1.0	0.5
29	0.8	1.0
30	1.0	1.0
31	1.0	0.75
32	1.0	1.0
33	0	0
34	1.0	1.0
35	1.0	0.0
36	1.0	1.0
37	0	0
38	1.0	1.0
