Sample_file	Genome_file	Taxonomic_abundance	Sequence_abundance	Adjusted_ANI	Eff_cov	ANI_5-95_percentile	Eff_lambda	Lambda_5-95_percentile	Median_cov	Mean_cov_geq1	Containment_ind	Naive_ANI	kmers_reassigned	Contig_name
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_001020205.1_ASM102020v1_genomic.fna	11.3438	11.7324	99.72	2.787	NA-NA	HIGH	NA-NA	3	2.787	16040/17497	99.72	9	NZ_CP011663.1 Clostridium sporogenes strain DSM 795 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_017090145.1_ASM1709014v1_genomic.fna	8.7726	8.5525	100.00	2.155	99.96-100.03	2.155	2.08-2.22	2	2.464	15028/17014	99.60	0	NZ_JACYYI010000010.1 Acinetobacter baumannii strain DSM 30007 NODE_10_length_192272_cov_104.043509, whole genome shotgun sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_020736665.1_ASM2073666v1_genomic.fna	7.6494	6.4913	100.00	1.879	100.00-100.10	1.879	1.79-1.98	2	2.313	11922/13855	99.52	0	NZ_CP086003.1 Clostridium septicum strain FDAARGOS_1551 chromosome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_001457635.1_NCTC7465_genomic.fna	6.7137	3.5380	99.97	1.650	99.89-100.04	1.650	1.56-1.73	2	2.080	6862/8578	99.28	0	NZ_LN831051.1 Streptococcus pneumoniae strain NCTC7465 chromosome 1, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_004295525.1_HPATCC43504_01_genomic.fna	5.8517	2.4554	99.99	1.438	99.91-100.06	1.438	1.37-1.52	2	2.006	5310/6991	99.12	0	NZ_AP017632.1 Helicobacter pylori strain ATCC 43504 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000007845.1_ASM784v1_genomic.fna	5.5556	7.2497	100.00	1.365	99.96-100.05	1.365	1.33-1.41	2	1.834	16717/22390	99.06	2	NC_003997.3 Bacillus anthracis str. Ames, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_006742065.1_ASM674206v1_genomic.fna	5.4482	6.3993	100.00	1.339	99.97-100.09	1.339	1.29-1.38	2	1.858	14629/19624	99.06	14	NZ_AP019716.1 Clostridium butyricum strain NBRC 13949 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000005845.2_ASM584v2_genomic.fna	5.4054	6.2635	99.85	1.328	99.78-99.91	1.328	1.28-1.38	2	1.949	13703/19513	98.87	222	NC_000913.3 Escherichia coli str. K-12 substr. MG1655, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000013285.1_ASM1328v1_genomic.fna	4.6107	3.7485	99.95	1.133	99.88-100.01	1.133	1.09-1.17	1	1.683	9204/13779	98.71	22	NC_008261.1 Clostridium perfringens ATCC 13124, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000013425.1_ASM1342v1_genomic.fna	4.3736	3.0804	100.00	1.075	99.99-100.14	1.075	1.04-1.11	1	1.646	8140/12094	98.73	0	NC_007795.1 Staphylococcus aureus subsp. aureus NCTC 8325 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_019048245.1_ASM1904824v1_genomic.fna	4.3187	5.3000	99.98	1.061	99.91-100.04	1.061	1.03-1.10	1	1.837	13468/20711	98.62	1	NZ_CP077308.1 Enterobacter hormaechei strain FDAARGOS 1433 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_025998455.1_ASM2599845v1_genomic.fna	4.1091	1.7404	98.89	1.010	98.74-99.04	1.010	0.93-1.08	1	1.594	3064/6804	97.46	1670	NZ_AP026446.1 Helicobacter pylori strain CHC155 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000014265.1_ASM1426v1_genomic.fna	3.7792	7.3118	99.97	0.929	99.91-100.04	0.929	0.90-0.95	1	1.534	18310/30561	98.36	0	NC_008312.1 Trichodesmium erythraeum IMS101, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_001729745.1_ASM172974v1_genomic.fna	3.6602	4.2750	99.11	0.899	99.03-99.24	0.899	0.86-0.94	1	1.585	9088/20199	97.46	4217	NZ_CP017186.1 Enterobacter hormaechei subsp. hoffmannii strain DSM 14563 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000008865.2_ASM886v2_genomic.fna	3.6503	5.0106	97.41	0.897	97.30-97.50	0.897	0.85-0.94	1	1.557	5762/21945	95.78	9745	NC_002695.2 Escherichia coli O157:H7 str. Sakai DNA, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_001729785.1_ASM172978v1_genomic.fna	3.2704	3.8060	97.99	0.804	97.86-98.10	0.804	0.76-0.84	1	1.450	5876/19988	96.13	7628	NZ_CP017183.1 Enterobacter hormaechei subsp. xiangfangensis strain LMG27195 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000340885.1_ASM34088v1_genomic.fna	3.1690	5.2740	100.00	0.779	99.94-100.10	0.779	0.75-0.80	1	1.449	15349/28206	98.06	36	NC_020291.1 Clostridium saccharoperbutylacetonicum N1-4(HMT), complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_002058765.1_ASM205876v1_genomic.fna	2.1961	2.9856	96.14	0.540	95.94-96.36	0.540	0.50-0.57	1	1.330	2746/22322	93.46	12838	CP019944.1 Escherichia coli strain DSM 103246 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000195755.1_ASM19575v1_genomic.fna	2.1598	2.0344	99.93	0.531	99.79-100.07	0.531	0.50-0.55	1	1.291	6441/16000	97.11	0	NC_002937.3 Nitratidesulfovibrio vulgaris str. Hildenborough, complete sequence
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_016027375.1_ASM1602737v1_genomic.fna	2.0575	1.7234	95.02	0.506	94.71-95.31	0.506	0.45-0.56	1	1.253	1160/14241	92.23	7577	NZ_CP065681.1 Clostridium perfringens strain FDAARGOS_903 chromosome, complete genome
/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/ref/GCF_000006885.1_ASM688v1_genomic.fna	1.9051	1.0277	95.76	0.468	95.30-96.13	0.468	0.40-0.54	1	1.285	850/8715	92.77	5240	NC_003028.3 Streptococcus pneumoniae TIGR4, complete sequence
