Assembly	R_HERO
# contigs (>= 0 bp)	84062
# contigs (>= 1000 bp)	83743
# contigs (>= 5000 bp)	83130
# contigs (>= 10000 bp)	59428
# contigs (>= 25000 bp)	17
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	984694392
Total length (>= 1000 bp)	984557317
Total length (>= 5000 bp)	982643388
Total length (>= 10000 bp)	780846471
Total length (>= 25000 bp)	448179
Total length (>= 50000 bp)	0
# contigs	83861
Largest contig	27574
Total length	984643091
Reference length	119963626
N50	12288
N90	8833
auN	12535.5
L50	33534
L90	70583
# misassemblies	59
# misassembled contigs	53
Misassembled contigs length	658337
# local misassemblies	4082
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	4
# unaligned mis. contigs	82
# unaligned contigs	20 + 764 part
Unaligned length	3101919
Genome fraction (%)	99.182
Duplication ratio	13.543
# N's per 100 kbp	1.73
# mismatches per 100 kbp	216.78
# indels per 100 kbp	106.42
Largest alignment	27531
Total aligned length	980915063
NA50	12257
NA90	8747
auNA	12462.3
LA50	33600
LA90	70829
