#HP Len	OC rate	UC rate
4	0.4775653531018338	0.34969957081545067
5	0.4644155057540884	0.3483747223904704
6	0.4231409965167348	0.3234893230349841
7	0.36523376215877	0.27580796987762785
8	0.41035258814703673	0.3023255813953488
9	0.44332210998877664	0.3468013468013468
10	0.5152224824355972	0.4496487119437939
11	0.5220883534136547	0.42168674698795183
12	0.4883720930232558	0.4883720930232558
13	0.5714285714285714	0.4126984126984127
14	0.5454545454545454	0.4675324675324675
15	0.6	0.52
16	0.5555555555555556	0.4074074074074074
17	0.5897435897435898	0.3076923076923077
18	0.6	0.6
19	0.42857142857142855	0.5714285714285714
20	1.0	1.0
21	0.8333333333333334	0.6666666666666666
22	1.0	1.0
23	0	0
24	0	0
25	1.0	0.0
26	0	0
27	0.8	0.4
28	1.0	0.5
29	1.0	0.5
30	0.8	0.6
31	0.5	0.75
32	1.0	1.0
33	0	0
34	1.0	0.75
35	1.0	0.0
36	0.8	0.8
37	0	0
38	1.0	1.0
