method	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	contigs_number
Raw	996.68	4920.04	99.849	2	222205
DADEC	263.22	142.11	99.394	4728	222202
FMLRC	498.84	507.21	99.303	11873	222205
F_HERO	513.89	365.14	84.937	11599	222205
Ratatosk	443.55	1352.41	99.879	883	222205
R_HERO	470.11	1111.86	86.772	2976	222201
LoRDEC	441.80	376.45	99.556	1709	222205
L_HERO	438.52	373.06	89.329	2731	222203
CoLoRMap	437.69	725.38	99.867	557	222205
Proovread	407.81	220.87	99.492	932	222205
