Strain,Max_ANI
GCF_000005845.2_ASM584v2_genomic.fna,97.9393
GCF_000006885.1_ASM688v1_genomic.fna,98.6543
GCF_000007845.1_ASM784v1_genomic.fna,99.9992
GCF_000008445.1_ASM844v1_genomic.fna,99.9992
GCF_000008865.2_ASM886v2_genomic.fna,98.1801
GCF_000013285.1_ASM1328v1_genomic.fna,98.9179
GCF_000013425.1_ASM1342v1_genomic.fna,N/A
GCF_000014265.1_ASM1426v1_genomic.fna,N/A
GCF_000195755.1_ASM19575v1_genomic.fna,N/A
GCF_000340885.1_ASM34088v1_genomic.fna,79.1082
GCF_000973705.1_ASM97370v1_genomic.fna,99.9985
GCF_001020205.1_ASM102020v1_genomic.fna,99.9985
GCF_001457635.1_NCTC7465_genomic.fna,99.9051
GCF_001679535.1_ASM167953v1_genomic.fna,99.9051
GCF_001729745.1_ASM172974v1_genomic.fna,95.9760
GCF_001729785.1_ASM172978v1_genomic.fna,95.9760
GCF_002058765.1_ASM205876v1_genomic.fna,98.1801
GCF_003050665.1_ASM305066v1_genomic.fna,99.9918
GCF_003606265.1_ASM360626v1_genomic.fna,99.9944
GCF_004295525.1_HPATCC43504_01_genomic.fna,99.9918
GCF_006742065.1_ASM674206v1_genomic.fna,99.9950
GCF_009035845.1_ASM903584v1_genomic.fna,99.9960
GCF_014131795.1_ASM1413179v1_genomic.fna,99.9950
GCF_016027375.1_ASM1602737v1_genomic.fna,98.9179
GCF_017090145.1_ASM1709014v1_genomic.fna,99.9875
GCF_019048245.1_ASM1904824v1_genomic.fna,94.8947
GCF_020736665.1_ASM2073666v1_genomic.fna,99.9944
GCF_025998455.1_ASM2599845v1_genomic.fna,94.9356
GCF_900444725.1_34576_B02_genomic.fna,99.9960
GCF_900461305.1_51470_G02_genomic.fna,99.9976
