Assembly	L_HERO
# contigs (>= 0 bp)	663678
# contigs (>= 1000 bp)	584360
# contigs (>= 5000 bp)	317147
# contigs (>= 10000 bp)	160114
# contigs (>= 25000 bp)	18838
# contigs (>= 50000 bp)	150
Total length (>= 0 bp)	4667489106
Total length (>= 1000 bp)	4616761158
Total length (>= 5000 bp)	3868207834
Total length (>= 10000 bp)	2743587476
Total length (>= 25000 bp)	577557874
Total length (>= 50000 bp)	13673393
# contigs	643542
Largest contig	443859
Total length	4659908919
Reference length	143726002
Reference GC (%)	42.01
N50	12079
NG50	37698
N90	3581
NG90	34497
auN	14110.4
auNG	457488.2
L50	122477
LG50	1561
L90	393604
LG90	3160
# misassemblies	41070
# misassembled contigs	26535
Misassembled contigs length	221386809
# local misassemblies	187836
# scaffold gap ext. mis.	9
# scaffold gap loc. mis.	1951
# unaligned mis. contigs	32488
# unaligned contigs	103715 + 128733 part
Unaligned length	1056598608
Genome fraction (%)	97.946
Duplication ratio	25.361
# N's per 100 kbp	6.58
# mismatches per 100 kbp	651.83
# indels per 100 kbp	267.69
Largest alignment	57166
Total aligned length	3541554442
NA50	7614
NGA50	34125
NA90	-
NGA90	31150
auNA	9700.9
auNGA	314525.0
LA50	160910
LGA50	1897
LA90	-
LGA90	3666
