coverage	method	method_dir	metrics_json	report	assignments	provenance
10x	DADEC	dadec_dev	benchmark/results/classification/30strains_legacy/10x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/10x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/10x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/dadec_dev/provenance.json
10x	FMLRC	fmlrc_current	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/provenance.json
10x	F_HERO	f_hero	benchmark/results/classification/30strains_legacy/10x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/f_hero/provenance.json
10x	Ratatosk	ratatosk	benchmark/results/classification/30strains_legacy/10x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/10x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/10x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/ratatosk/provenance.json
10x	R_HERO	r_hero	benchmark/results/classification/30strains_legacy/10x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/r_hero/provenance.json
10x	LoRDEC	lordec	benchmark/results/classification/30strains_legacy/10x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/10x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/10x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/lordec/provenance.json
10x	L_HERO	l_hero	benchmark/results/classification/30strains_legacy/10x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/l_hero/provenance.json
10x	CoLoRMap	colormap	benchmark/results/classification/30strains_legacy/10x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/10x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/10x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/colormap/provenance.json
10x	Proovread	proovread	benchmark/results/classification/30strains_legacy/10x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/10x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/10x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/proovread/provenance.json
20x	DADEC	dadec_dev	benchmark/results/classification/30strains_legacy/20x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/20x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/20x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/dadec_dev/provenance.json
20x	FMLRC	fmlrc_current	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/provenance.json
20x	F_HERO	f_hero	benchmark/results/classification/30strains_legacy/20x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/f_hero/provenance.json
20x	Ratatosk	ratatosk	benchmark/results/classification/30strains_legacy/20x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/20x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/20x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/ratatosk/provenance.json
20x	R_HERO	r_hero	benchmark/results/classification/30strains_legacy/20x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/r_hero/provenance.json
20x	LoRDEC	lordec	benchmark/results/classification/30strains_legacy/20x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/20x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/20x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/lordec/provenance.json
20x	L_HERO	l_hero	benchmark/results/classification/30strains_legacy/20x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/20x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/20x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/l_hero/provenance.json
20x	CoLoRMap	colormap	benchmark/results/classification/30strains_legacy/20x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/20x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/20x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/colormap/provenance.json
20x	Proovread	proovread	benchmark/results/classification/30strains_legacy/20x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/20x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/20x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/proovread/provenance.json
