name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4803	2191	0.00790359
Acinetobacter baumannii	470	species	11893028	19556	2283	0
Escherichia coli	562	species	5070115	2816	2803	0.0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1848	1848	0.0
Streptococcus pneumoniae	1313	species	2160842	4884	1996	0.166514
Clostridium butyricum	1492	species	9410692	9960	2176	0.00708042
Clostridium perfringens	1502	species	3256683	749	698	0.0
Clostridium septicum	1504	species	6803993	9852	2700	0.282039
Clostridium sporogenes	1509	species	12562466	20519	4403	0.528281
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2965	2965	0.0
Enterobacter hormaechei	158836	species	4670207	3706	3702	0.0
Streptococcus pneumoniae TIGR4	170187	strain	2160842	411	372	0.00308359
Clostridium perfringens ATCC 13124	195103	strain	3256683	3010	2959	0.0
Bacillus anthracis str. Ames	198094	strain	5227293	6618	192	0.00509875
Trichodesmium erythraeum IMS101	203124	strain	7750108	6707	6707	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6479	53	0
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	3328	3327	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	2885	2872	0.0
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4813	4813	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3410	3410	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3331	3331	0.0
