method	assembler	report_status	resource_status	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	nga50_kbp	contigs_number	total_length_bp	quast_report	resource_log	provenance
DADEC	hifiasm	present	present	28.59	22.59	73.673	353	60459	4026	177655404	benchmark/runs/drosophila_43x/assembly/dadec/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/dadec/hifiasm/resources/hifiasm.time.txt	benchmark/runs/drosophila_43x/assembly/dadec/hifiasm/provenance.json
DADEC	canu	present	present	91.26	29.92	93.724	2150	1651234	639	149947306	benchmark/runs/drosophila_43x/assembly/dadec/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/dadec/canu/resources/canu.time.txt	benchmark/runs/drosophila_43x/assembly/dadec/canu/provenance.json
FMLRC	hifiasm	present	present	39.59	43.71	70.135	267	52233	4932	182785462	benchmark/runs/drosophila_43x/assembly/fmlrc/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/fmlrc/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/fmlrc/hifiasm/provenance.json
FMLRC	canu	present	present	92.36	69.00	90.716	1646	314096	1430	153621162	benchmark/runs/drosophila_43x/assembly/fmlrc/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/fmlrc/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/fmlrc/canu/provenance.json
F_HERO	hifiasm	present	present	51.19	39.82	71.958	273	65090	3221	154828731	benchmark/runs/drosophila_43x/assembly/f_hero/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/f_hero/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/f_hero/hifiasm/provenance.json
F_HERO	canu	present	present	97.36	54.43	90.051	1615	313361	1269	147316742	benchmark/runs/drosophila_43x/assembly/f_hero/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/f_hero/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/f_hero/canu/provenance.json
Ratatosk	hifiasm	present	present	69.55	83.48	53.571	56	36321	3497	124857478	benchmark/runs/drosophila_43x/assembly/ratatosk/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/ratatosk/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/ratatosk/hifiasm/provenance.json
Ratatosk	canu	present	present	22.97	53.69	77.130	26	135622	1066	111930113	benchmark/runs/drosophila_43x/assembly/ratatosk/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/ratatosk/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/ratatosk/canu/provenance.json
R_HERO	hifiasm	present	present	95.34	80.63	61.529	73	49844	2467	120425441	benchmark/runs/drosophila_43x/assembly/r_hero/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/r_hero/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/r_hero/hifiasm/provenance.json
R_HERO	canu	present	present	87.36	89.18	83.812	228	167399	1134	125772631	benchmark/runs/drosophila_43x/assembly/r_hero/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/r_hero/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/r_hero/canu/provenance.json
LoRDEC	hifiasm	present	present	61.14	59.48	49.993	58	33210	2944	109659656	benchmark/runs/drosophila_43x/assembly/lordec/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/lordec/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/lordec/hifiasm/provenance.json
LoRDEC	canu	present	present	102.20	96.45	85.645	506	99099	1855	140469156	benchmark/runs/drosophila_43x/assembly/lordec/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/lordec/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/lordec/canu/provenance.json
L_HERO	hifiasm	present	present	71.81	53.77	60.129	120	47477	2722	123757448	benchmark/runs/drosophila_43x/assembly/l_hero/hifiasm/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/l_hero/hifiasm/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/l_hero/hifiasm/provenance.json
L_HERO	canu	present	present	109.74	78.59	83.777	440	87761	1788	132312050	benchmark/runs/drosophila_43x/assembly/l_hero/canu/quast/report.tsv	benchmark/runs/drosophila_43x/assembly/l_hero/canu/resources/quast.time.txt	benchmark/runs/drosophila_43x/assembly/l_hero/canu/provenance.json
CoLoRMap	hifiasm	missing	present									benchmark/runs/drosophila_43x/assembly/colormap/hifiasm/resources/hifiasm.time.txt	
CoLoRMap	canu	missing	present									benchmark/runs/drosophila_43x/assembly/colormap/canu/resources/canu.time.txt	
Proovread	hifiasm	missing	present									benchmark/runs/drosophila_43x/assembly/proovread/hifiasm/resources/hifiasm.time.txt	
Proovread	canu	missing	missing										
