dataset_label	dataset_id	short_coverage	method	method_id	candidate_count	exact_config_count	exact_config_with_report_count	recommended_run_id	status	note
arabidopsis	arabidopsis	3x	DADEC	dadec	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	FMLRC	fmlrc	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	F_HERO	f_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	Ratatosk	ratatosk	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	R_HERO	r_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	LoRDEC	lordec	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	L_HERO	l_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	CoLoRMap	colormap	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	3x	Proovread	proovread	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	5x	DADEC	dadec	4	1	1	arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	selected	exact config; current dev_fix_a revision; best residual-error rank within revision
arabidopsis	arabidopsis	5x	FMLRC	fmlrc	1	1	1	arabidopsis_5x_fmlrc_original_k21_k59	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	F_HERO	f_hero	1	1	1	arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	Ratatosk	ratatosk	2	1	1	arabidopsis_5x_ratatosk_original_k21_k63	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	R_HERO	r_hero	1	1	1	arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	LoRDEC	lordec	2	1	1	arabidopsis_5x_lordec_original_k21_ls5	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	L_HERO	l_hero	1	1	1	arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	CoLoRMap	colormap	1	1	1	arabidopsis_5x_colormap_original	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	5x	Proovread	proovread	1	1	1	arabidopsis_5x_proovread_original	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	8x	DADEC	dadec	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	FMLRC	fmlrc	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	F_HERO	f_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	Ratatosk	ratatosk	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	R_HERO	r_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	LoRDEC	lordec	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	L_HERO	l_hero	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	CoLoRMap	colormap	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	8x	Proovread	proovread	0	0	0		missing_run	no provenance-bearing run found
arabidopsis	arabidopsis	10x	DADEC	dadec	5	1	1	arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	selected	exact config; current dev_fix_a revision; best residual-error rank within revision
arabidopsis	arabidopsis	10x	FMLRC	fmlrc	1	1	1	arabidopsis_10x_fmlrc_original_k21_k59	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	10x	F_HERO	f_hero	1	1	1	arabidopsis_10x_f_hero_original_k21_k59_hs10_hi3	selected	exact config; best residual-error rank
arabidopsis	arabidopsis	10x	Ratatosk	ratatosk	2	1	1	arabidopsis_10x_ratatosk_original_k21_k63	selected	exact config; best residual-error rank
