coverage	method	status	selected_method_dir	metrics_json
10x	DADEC	ok	dadec_dev	benchmark/results/classification/30strains_legacy/10x/dadec_dev/metrics.json
10x	FMLRC	ok	fmlrc_current	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/metrics.json
10x	F_HERO	ok	f_hero	benchmark/results/classification/30strains_legacy/10x/f_hero/metrics.json
10x	Ratatosk	ok	ratatosk	benchmark/results/classification/30strains_legacy/10x/ratatosk/metrics.json
10x	R_HERO	ok	r_hero	benchmark/results/classification/30strains_legacy/10x/r_hero/metrics.json
10x	LoRDEC	ok	lordec	benchmark/results/classification/30strains_legacy/10x/lordec/metrics.json
10x	L_HERO	ok	l_hero	benchmark/results/classification/30strains_legacy/10x/l_hero/metrics.json
10x	CoLoRMap	ok	colormap	benchmark/results/classification/30strains_legacy/10x/colormap/metrics.json
10x	Proovread	ok	proovread	benchmark/results/classification/30strains_legacy/10x/proovread/metrics.json
20x	DADEC	ok	dadec_dev	benchmark/results/classification/30strains_legacy/20x/dadec_dev/metrics.json
20x	FMLRC	ok	fmlrc_current	benchmark/results/classification/30strains_legacy/20x/fmlrc_current/metrics.json
20x	F_HERO	ok	f_hero	benchmark/results/classification/30strains_legacy/20x/f_hero/metrics.json
20x	Ratatosk	ok	ratatosk	benchmark/results/classification/30strains_legacy/20x/ratatosk/metrics.json
20x	R_HERO	ok	r_hero	benchmark/results/classification/30strains_legacy/20x/r_hero/metrics.json
20x	LoRDEC	ok	lordec	benchmark/results/classification/30strains_legacy/20x/lordec/metrics.json
20x	L_HERO	ok	l_hero	benchmark/results/classification/30strains_legacy/20x/l_hero/metrics.json
20x	CoLoRMap	ok	colormap	benchmark/results/classification/30strains_legacy/20x/colormap/metrics.json
20x	Proovread	ok	proovread	benchmark/results/classification/30strains_legacy/20x/proovread/metrics.json
30x	DADEC	ok	dadec_dev	benchmark/results/classification/30strains_legacy/30x/dadec_dev/metrics.json
30x	FMLRC	ok	fmlrc_current	benchmark/results/classification/30strains_legacy/30x/fmlrc_current/metrics.json
30x	F_HERO	ok	f_hero	benchmark/results/classification/30strains_legacy/30x/f_hero/metrics.json
30x	Ratatosk	ok	ratatosk	benchmark/results/classification/30strains_legacy/30x/ratatosk/metrics.json
30x	R_HERO	ok	r_hero	benchmark/results/classification/30strains_legacy/30x/r_hero/metrics.json
30x	LoRDEC	ok	lordec	benchmark/results/classification/30strains_legacy/30x/lordec/metrics.json
30x	L_HERO	ok	l_hero	benchmark/results/classification/30strains_legacy/30x/l_hero/metrics.json
30x	CoLoRMap	ok	colormap	benchmark/results/classification/30strains_legacy/30x/colormap/metrics.json
30x	Proovread	ok	proovread	benchmark/results/classification/30strains_legacy/30x/proovread/metrics.json
40x	DADEC	ok	dadec_dev	benchmark/results/classification/30strains_legacy/40x/dadec_dev/metrics.json
40x	FMLRC	ok	fmlrc_current	benchmark/results/classification/30strains_legacy/40x/fmlrc_current/metrics.json
40x	F_HERO	ok	f_hero	benchmark/results/classification/30strains_legacy/40x/f_hero/metrics.json
40x	Ratatosk	ok	ratatosk	benchmark/results/classification/30strains_legacy/40x/ratatosk/metrics.json
40x	R_HERO	ok	r_hero	benchmark/results/classification/30strains_legacy/40x/r_hero/metrics.json
40x	LoRDEC	ok	lordec	benchmark/results/classification/30strains_legacy/40x/lordec/metrics.json
40x	L_HERO	ok	l_hero	benchmark/results/classification/30strains_legacy/40x/l_hero/metrics.json
40x	CoLoRMap	ok	colormap	benchmark/results/classification/30strains_legacy/40x/colormap/metrics.json
40x	Proovread	ok	proovread	benchmark/results/classification/30strains_legacy/40x/proovread/metrics.json
50x	DADEC	ok	dadec_dev	benchmark/results/classification/30strains_legacy/50x/dadec_dev/metrics.json
50x	FMLRC	ok	fmlrc_current	benchmark/results/classification/30strains_legacy/50x/fmlrc_current/metrics.json
50x	F_HERO	ok	f_hero	benchmark/results/classification/30strains_legacy/50x/f_hero/metrics.json
50x	Ratatosk	ok	ratatosk	benchmark/results/classification/30strains_legacy/50x/ratatosk/metrics.json
50x	R_HERO	ok	r_hero	benchmark/results/classification/30strains_legacy/50x/r_hero/metrics.json
50x	LoRDEC	ok	lordec	benchmark/results/classification/30strains_legacy/50x/lordec/metrics.json
50x	L_HERO	ok	l_hero	benchmark/results/classification/30strains_legacy/50x/l_hero/metrics.json
50x	CoLoRMap	ok	colormap	benchmark/results/classification/30strains_legacy/50x/colormap/metrics.json
50x	Proovread	ok	proovread	benchmark/results/classification/30strains_legacy/50x/proovread/metrics.json
