Strain_ID	Species_Name
GCF_000005845	Escherichia coli
GCF_000006745	Vibrio cholerae
GCF_000006765	Pseudomonas aeruginosa
GCF_000006885	Streptococcus pneumoniae
GCF_000006945	Salmonella enterica
GCF_000007125	Brucella melitensis
GCF_000007505	Brucella suis
GCF_000007785	Enterococcus faecalis
GCF_000007845	Bacillus anthracis
GCF_000008445	Bacillus anthracis
GCF_000008485	Legionella pneumophila
GCF_000008865	Escherichia coli
GCF_000009045	Bacillus subtilis
GCF_000009065	Yersinia pestis
GCF_000009085	Campylobacter jejuni
GCF_000011325	Corynebacterium glutamicum
GCF_000013285	Clostridium perfringens
GCF_000013425	Staphylococcus aureus
GCF_000014265	Trichodesmium erythraeum
GCF_000195755	Nitratidesulfovibrio vulgaris
GCF_000196035	Listeria monocytogenes
GCF_000196335	Corynebacterium glutamicum
GCF_000215745	Klebsiella aerogenes
GCF_000290615	Heyndrickxia coagulans
GCF_000340885	Clostridium saccharoperbutylacetonicum
GCF_000369385	Acinetobacter baumannii
GCF_000387565	Lactobacillus delbrueckii
GCF_000469365	Levilactobacillus brevis
GCF_000689235	Streptococcus agalactiae
GCF_000829395	Paucilactobacillus hokkaidonensis
GCF_000832905	Heyndrickxia coagulans
GCF_000931755	Acinetobacter baumannii
GCF_000973705	Clostridium sporogenes
GCF_001020205	Clostridium sporogenes
GCF_001182285	Burkholderia pseudomallei
GCF_001431675	Stenotrophomonas maltophilia
GCF_001433855	Levilactobacillus brevis
GCF_001457635	Streptococcus pneumoniae
GCF_001457655	Haemophilus influenzae
GCF_001591065	Vibrio vulnificus
GCF_001591525	Priestia megaterium
GCF_001598475	Pantoea agglomerans
GCF_001598695	Klebsiella oxytoca
GCF_001598895	Morganella morganii
GCF_001679535	Streptococcus pneumoniae
GCF_001729745	Enterobacter hormaechei
GCF_001729785	Enterobacter hormaechei
GCF_001888925	Lactobacillus delbrueckii
GCF_002008145	Clostridium sporogenes
GCF_002058765	Escherichia coli
GCF_002224265	Vibrio vulnificus
GCF_003050665	Helicobacter pylori
GCF_003606265	Clostridium septicum
GCF_004295525	Helicobacter pylori
GCF_006094375	Staphylococcus epidermidis
GCF_006094455	Morganella morganii
GCF_006094495	Priestia megaterium
GCF_006538545	Burkholderia pseudomallei
GCF_006739205	Streptococcus mutans
GCF_006742065	Clostridium butyricum
GCF_006742205	Staphylococcus epidermidis
GCF_009035845	Acinetobacter baumannii
GCF_013004645	Stenotrophomonas maltophilia
GCF_013009385	Bacillus subtilis
GCF_014131755	Bacteroides thetaiotaomicron
GCF_014131795	Clostridium butyricum
GCF_016027375	Clostridium perfringens
GCF_016103195	Bacteroides thetaiotaomicron
GCF_017090145	Acinetobacter baumannii
GCF_019048125	Klebsiella aerogenes
GCF_019048245	Enterobacter hormaechei
GCF_019048385	Pantoea agglomerans
GCF_019048645	Streptococcus mutans
GCF_020099175	Klebsiella quasipneumoniae
GCF_020115515	Klebsiella quasipneumoniae
GCF_020115535	Klebsiella oxytoca
GCF_020525685	Klebsiella quasipneumoniae
GCF_020525925	Klebsiella quasipneumoniae
GCF_020736045	Haemophilus influenzae
GCF_020736665	Clostridium septicum
GCF_022453665	Bacteroides thetaiotaomicron
GCF_022630555	Bacillus licheniformis
GCF_022869645	Neisseria meningitidis
GCF_024618585	Acinetobacter baumannii
GCF_025998455	Helicobacter pylori
GCF_030297255	Burkholderia pseudomallei
GCF_034478925	Bacillus licheniformis
GCF_037213995	Stenotrophomonas maltophilia
GCF_040560265	Morganella morganii
GCF_044360185	Streptococcus mutans
GCF_900106225	Pseudomonas aeruginosa
GCF_900186865	Stenotrophomonas maltophilia
GCF_900444725	Acinetobacter baumannii
GCF_900445595	Bacteroides thetaiotaomicron
GCF_900458605	Staphylococcus epidermidis
GCF_900461305	Clostridium sporogenes
GCF_900475095	Streptococcus mutans
GCF_900636985	Klebsiella oxytoca
GCF_900638555	Neisseria meningitidis
GCF_965135875	Streptococcus mutans
GCF_965138055	Staphylococcus epidermidis
