genome_ID	OTU	NCBI_ID	novelty_category
GCF_000005845.2	1	511145	known
GCF_000006885.1	2	170187	known
GCF_000007845.1	3	198094	known
GCF_000008445.1	4	261594	known
GCF_000008865.2	5	386585	known
GCF_000013285.1	6	195103	known
GCF_000013425.1	7	93061	known
GCF_000014265.1	8	203124	known
GCF_000195755.1	9	882	known
GCF_000340885.1	10	931276	known
GCF_000973705.1	11	1509	known
GCF_001020205.1	12	1509	known
GCF_001457635.1	13	1313	known
GCF_001679535.1	14	1313	known
GCF_001729745.1	15	1812934	known
GCF_001729785.1	16	1296536	known
GCF_002058765.1	17	562	known
GCF_003050665.1	18	210	known
GCF_003606265.1	19	1504	known
GCF_004295525.1	20	210	known
GCF_006742065.1	21	1492	known
GCF_009035845.1	22	470	known
GCF_014131795.1	23	1492	known
GCF_016027375.1	24	1502	known
GCF_017090145.1	25	470	known
GCF_019048245.1	26	158836	known
GCF_020736665.1	27	1504	known
GCF_025998455.1	28	210	known
GCF_900444725.1	29	470	known
GCF_900461305.1	30	1509	known
