Assembly	corrected
# contigs (>= 0 bp)	84062
# contigs (>= 1000 bp)	83746
# contigs (>= 5000 bp)	83089
# contigs (>= 10000 bp)	57670
# contigs (>= 25000 bp)	14
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	969619728
Total length (>= 1000 bp)	969484003
Total length (>= 5000 bp)	967399915
Total length (>= 10000 bp)	751826497
Total length (>= 25000 bp)	369096
Total length (>= 50000 bp)	0
# contigs	83862
Largest contig	27456
Total length	969568233
Reference length	119963626
N50	12105
N90	8687
auN	12350.0
L50	33496
L90	70557
# misassemblies	3434
# misassembled contigs	2144
Misassembled contigs length	24679055
# local misassemblies	66358
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	11
# unaligned mis. contigs	690
# unaligned contigs	142 + 5503 part
Unaligned length	18307901
Genome fraction (%)	99.335
Duplication ratio	12.812
# N's per 100 kbp	0.35
# mismatches per 100 kbp	2299.62
# indels per 100 kbp	1221.79
Largest alignment	27244
Total aligned length	938087153
NA50	11720
NA90	7817
auNA	11642.0
LA50	34343
LA90	73430
