dataset_label	dataset_id	short_coverage	method	method_id	run_id	software_revision	config_match	candidate_status	expected_parameters	actual_parameters	evaluation_tool	ambiguity_score	report_status	resource_status	CPU(h)	WallTime(h)	Memory(GB)	mismatches_per_100_kbp	indels_per_100_kbp	haplotype_coverage_percent	local_misassemblies	contigs_number	residual_errors_per_100_kbp	metric_rank_within_config	is_metric_best	is_recommended	selection_reason	run_config	provenance	report	resource_log
30s_ba	30strains	10x	DADEC	dadec	30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":10,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":10,""dadec_threshold"":0.08}"	metaquast	0.9999	present	present	19.490	1.096	38.472	340.5	76.42	82.703	2486	80410	416.92	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/10x_dadec.yaml	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/output/short_10x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/short_10x/dadec/resources.time.txt
30s_ba	30strains	10x	FMLRC	fmlrc	30strains_10x_fmlrc_original_k21_k31	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	metaquast	0.9999	present	present	2.189	0.056	1.870	872.9	1642.6	87.392	6288	80411	2515.50	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_fmlrc.yaml	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/output/short_10x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/benchmark/short_10x/fmlrc/resources.time.txt
30s_ba	30strains	10x	F_HERO	f_hero	30strains_10x_f_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":31,""hero_iterations"":1,""hero_split"":10}"	"{""fmlrc_k1"":21,""fmlrc_k2"":31,""hero_iterations"":1,""hero_split"":10}"	metaquast	0.9999	present	present	18.102	0.448	10.659	784.41	473.06	83.664	29596	80411	1257.47	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_f_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/output/short_10x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/f_hero/resources.time.txt
30s_ba	30strains	10x	Ratatosk	ratatosk	30strains_10x_ratatosk_original_k21_k31	original_or_legacy	exact	complete	"{""ratatosk_k1"":21,""ratatosk_k2"":31}"	"{""ratatosk_k1"":21,""ratatosk_k2"":31}"	metaquast	0.9999	present	present	7.871	0.168	3.336	354.76	869.77	87.373	402	80411	1224.53	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_ratatosk.yaml	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/output/short_10x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/benchmark/short_10x/ratatosk/resources.time.txt
30s_ba	30strains	10x	R_HERO	r_hero	30strains_10x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":21,""ratatosk_k2"":31}"	"{""hero_iterations"":1,""hero_split"":10,""ratatosk_k1"":21,""ratatosk_k2"":31}"	metaquast	0.9999	present	present	28.079	0.706	10.670	325.55	236.25	82.668	8787	80411	561.80	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_r_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/output/short_10x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/r_hero/resources.time.txt
30s_ba	30strains	10x	LoRDEC	lordec	30strains_10x_lordec_original_k21_ls5	original_or_legacy	exact	complete	"{""lordec_k"":21,""lordec_solid"":5}"	"{""lordec_k"":21,""lordec_solid"":5}"	metaquast	0.9999	present	present	10.537	0.254	4.872	564.32	1120.18	85.748	899	80411	1684.50	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_lordec.yaml	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/output/short_10x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/benchmark/short_10x/lordec/resources.time.txt
30s_ba	30strains	10x	L_HERO	l_hero	30strains_10x_l_hero_original_k21_ls5_hs10_hi1	original_or_legacy	exact	complete	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	"{""hero_iterations"":1,""hero_split"":10,""lordec_k"":21,""lordec_solid"":5}"	metaquast	0.9999	present	present	31.562	0.777	10.696	475.09	279.61	82.394	10356	80411	754.70	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_l_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/output/short_10x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/short_10x/l_hero/resources.time.txt
30s_ba	30strains	10x	CoLoRMap	colormap	30strains_10x_colormap_original	original_or_legacy	exact	complete	{}	{}	metaquast	0.9999	present	present	36.846	3.003	57.033	1801.97	6210.11	90.734	303	80411	8012.08	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_colormap.yaml	benchmark/runs/30strains_10x/30strains_10x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_colormap_original/output/short_10x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_colormap_original/benchmark/short_10x/colormap/resources.time.txt
30s_ba	30strains	10x	Proovread	proovread	30strains_10x_proovread_original	original_or_legacy	exact	complete	{}	{}	metaquast	0.9999	present	present	85.349	2.943	27.426	475.4	169.53	80.732	294	80411	644.93	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_proovread.yaml	benchmark/runs/30strains_10x/30strains_10x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_proovread_original/output/short_10x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_proovread_original/benchmark/short_10x/proovread/resources.time.txt
30s_ba	30strains	20x	DADEC	dadec	30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1	dev_fix_a	exact	complete	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":10,""dadec_threshold"":0.08}"	"{""dadec_abundance1"":2,""dadec_abundance2"":1,""dadec_k1"":21,""dadec_k2"":21,""dadec_split"":10,""dadec_threshold"":0.08}"	metaquast	0.9999	present	present	44.743	2.665	77.337	251.4	46.5	85.601	634	80410	297.90	1	yes	yes	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/20x_dadec.yaml	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/output/short_20x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/short_20x/dadec/resources.time.txt
30s_ba	30strains	20x	FMLRC	fmlrc	30strains_20x_fmlrc_original_k21_k31	original_or_legacy	exact	complete	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	"{""fmlrc_k1"":21,""fmlrc_k2"":31}"	metaquast	0.9999	present	present	3.067	0.089	3.649	458.56	512.93	83.943	3704	80411	971.49	1	yes	yes	exact config; best residual-error rank	benchmark/config/runs/30strains/20x_fmlrc.yaml	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/output/short_20x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_fmlrc_original_k21_k31/benchmark/short_20x/fmlrc/resources.time.txt
