method	filter_state	raw_errors	corrected_errors	read_oc	read_uc	read_cc	base_oc	base_uc	base_cc	FDR	FNR	TPR	read_mapping_mode	corrected_fasta
dadec	unfiltered	16513543	91787	30	49	65	45256	46412	16333009	0.002763174243425662	0.0028335555939370508	0.997166444406063	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_20x/dadec/corrected.fa
dadec	filtered	16497169	91713	30	49	65	45194	46400	16316792	0.0027621341321279703	0.0028356325587330393	0.9971643674412669	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_dadec_dev_fix_a_k31_k31_s1_a2_a1/output/short_20x/dadec/corrected.fa
fmlrc	unfiltered	16513543	638367	108	61	53	214940	414993	15964428	0.013284820519565413	0.025336243570514488	0.9746637564294856	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_fmlrc_original_k21_k59/output/short_20x/fmlrc/corrected.fa
fmlrc	filtered	16429394	633421	108	61	53	211473	413568	15882500	0.013139887832544519	0.0253783918918355	0.9746216081081645	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_fmlrc_original_k21_k59/output/short_20x/fmlrc/corrected.fa
f_hero	unfiltered	16513543	480304	245	67	47	189696	284362	16095059	0.011648686148486728	0.01736093113425682	0.9826390688657431	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_f_hero_original_k21_k59_hs30_hi3/output/short_20x/f_hero/corrected.fa
f_hero	filtered	16291854	459870	245	67	47	174947	278970	15881116	0.010896008566981832	0.017262903180094463	0.9827370968199055	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_f_hero_original_k21_k59_hs30_hi3/output/short_20x/f_hero/corrected.fa
ratatosk	unfiltered	16513543	2057687	231	74	40	567321	1468052	14911369	0.03665174507661824	0.08962783238797024	0.9103721676120298	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_ratatosk_original_k31_k63/output/short_20x/ratatosk/corrected.fa
ratatosk	filtered	16325393	2036111	231	74	40	551074	1462922	14730060	0.03606237599905871	0.0903429646250456	0.9096570353749545	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_ratatosk_original_k31_k63/output/short_20x/ratatosk/corrected.fa
r_hero	unfiltered	16513543	1404437	375	77	37	341488	1046075	15333346	0.021785749054822525	0.06386520011910067	0.9361347998808993	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_r_hero_original_k31_k63_hs30_hi3/output/short_20x/r_hero/corrected.fa
r_hero	filtered	16219315	1382666	375	77	37	324598	1041419	15046397	0.02111756590903842	0.06473339824373923	0.9352666017562608	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_r_hero_original_k31_k63_hs30_hi3/output/short_20x/r_hero/corrected.fa
lordec	unfiltered	16513543	2033930	87	82	32	262668	1747175	14632246	0.017634744316079972	0.10666891094624163	0.8933310890537584	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_lordec_original_k31_ls5/output/short_20x/lordec/corrected.fa
lordec	filtered	16444322	2027476	87	82	32	257257	1746185	14564662	0.01735652448242363	0.10705667216423524	0.8929433278357648	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_lordec_original_k31_ls5/output/short_20x/lordec/corrected.fa
l_hero	unfiltered	16513543	1566672	442	81	33	306707	1240710	15138711	0.01985747488348972	0.07574809878810734	0.9242519012118926	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_l_hero_original_k31_ls5_hs30_hi3/output/short_20x/l_hero/corrected.fa
l_hero	filtered	16162279	1528578	442	81	33	279581	1230141	14801310	0.018538758751057878	0.07673297944147414	0.9232670205585258	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_l_hero_original_k31_ls5_hs30_hi3/output/short_20x/l_hero/corrected.fa
colormap	unfiltered	16513543	1033146	286	50	64	657649	368340	16011081	0.039454055587918216	0.022487974391768792	0.9775120256082312	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_colormap_original/output/short_20x/colormap/corrected.fa
colormap	filtered	16371934	1018642	286	50	64	646343	365295	15873883	0.03912434369844577	0.022494673067811683	0.9775053269321883	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_colormap_original/output/short_20x/colormap/corrected.fa
proovread	unfiltered	16513543	868488	399	36	78	458406	403232	15976189	0.027892746976728056	0.024618208421408792	0.9753817915785912	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_proovread_original/output/short_20x/proovread/corrected.fa
proovread	filtered	16338047	856361	399	36	78	448918	400717	15804721	0.027619538000074936	0.024727316842654917	0.975272683157345	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/ecoli3_20x/ecoli3_20x_proovread_original/output/short_20x/proovread/corrected.fa
