dataset_label	short_coverage	method	run_id	software_revision	selection_reason	run_config	provenance	report	resource_log	report_status	resource_status
30s_ba	10x	DADEC	30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/10x_dadec.yaml	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/output/short_10x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/short_10x/dadec/resources.time.txt	present	present
30s_ba	10x	FMLRC	30strains_10x_fmlrc_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_fmlrc.yaml	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/output/short_10x/fmlrc/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_fmlrc_original_k21_k31/benchmark/short_10x/fmlrc/resources.time.txt	present	present
30s_ba	10x	F_HERO	30strains_10x_f_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_f_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/output/short_10x/f_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_f_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/f_hero/resources.time.txt	present	present
30s_ba	10x	Ratatosk	30strains_10x_ratatosk_original_k21_k31	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_ratatosk.yaml	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/output/short_10x/ratatosk/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_ratatosk_original_k21_k31/benchmark/short_10x/ratatosk/resources.time.txt	present	present
30s_ba	10x	R_HERO	30strains_10x_r_hero_original_k21_k31_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_r_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/output/short_10x/r_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_r_hero_original_k21_k31_hs10_hi1/benchmark/short_10x/r_hero/resources.time.txt	present	present
30s_ba	10x	LoRDEC	30strains_10x_lordec_original_k21_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_lordec.yaml	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/output/short_10x/lordec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_lordec_original_k21_ls5/benchmark/short_10x/lordec/resources.time.txt	present	present
30s_ba	10x	L_HERO	30strains_10x_l_hero_original_k21_ls5_hs10_hi1	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_l_hero.yaml	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/output/short_10x/l_hero/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_l_hero_original_k21_ls5_hs10_hi1/benchmark/short_10x/l_hero/resources.time.txt	present	present
30s_ba	10x	CoLoRMap	30strains_10x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_colormap.yaml	benchmark/runs/30strains_10x/30strains_10x_colormap_original/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_colormap_original/output/short_10x/colormap/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_colormap_original/benchmark/short_10x/colormap/resources.time.txt	present	present
30s_ba	10x	Proovread	30strains_10x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/30strains/10x_proovread.yaml	benchmark/runs/30strains_10x/30strains_10x_proovread_original/benchmark/provenance.json	benchmark/runs/30strains_10x/30strains_10x_proovread_original/output/short_10x/proovread/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_10x/30strains_10x_proovread_original/benchmark/short_10x/proovread/resources.time.txt	present	present
30s_ba	20x	DADEC	30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/30strains/20x_dadec.yaml	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/provenance.json	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/output/short_20x/dadec/metaquast.ambiguity9999/combined_reference/report.tsv	benchmark/runs/30strains_20x/30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1/benchmark/short_20x/dadec/resources.time.txt	present	present
