dataset_label	short_coverage	method	run_id	software_revision	selection_reason	run_config	provenance	report	resource_log	report_status	resource_status
arabidopsis	5x	DADEC	arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/5x_dadec.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_5x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_5x/dadec/resources.time.txt	present	present
arabidopsis	5x	FMLRC	arabidopsis_5x_fmlrc_original_k21_k59	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_fmlrc.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/output/short_5x/fmlrc/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_fmlrc_original_k21_k59/benchmark/short_5x/fmlrc/resources.time.txt	present	present
arabidopsis	5x	F_HERO	arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_f_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/output/short_5x/f_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_f_hero_original_k21_k59_hs10_hi3/benchmark/short_5x/f_hero/resources.time.txt	present	present
arabidopsis	5x	Ratatosk	arabidopsis_5x_ratatosk_original_k21_k63	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_ratatosk.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/output/short_5x/ratatosk/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_ratatosk_original_k21_k63/benchmark/short_5x/ratatosk/resources.time.txt	present	present
arabidopsis	5x	R_HERO	arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_r_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/output/short_5x/r_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_r_hero_original_k31_k63_hs10_hi3/benchmark/short_5x/r_hero/resources.time.txt	present	present
arabidopsis	5x	LoRDEC	arabidopsis_5x_lordec_original_k21_ls5	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_lordec.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/output/short_5x/lordec/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_lordec_original_k21_ls5/benchmark/short_5x/lordec/resources.time.txt	present	present
arabidopsis	5x	L_HERO	arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_l_hero.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/output/short_5x/l_hero/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_l_hero_original_k21_ls5_hs10_hi3/benchmark/short_5x/l_hero/resources.time.txt	present	present
arabidopsis	5x	CoLoRMap	arabidopsis_5x_colormap_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_colormap.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/output/short_5x/colormap/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_colormap_original/benchmark/short_5x/colormap/resources.time.txt	present	present
arabidopsis	5x	Proovread	arabidopsis_5x_proovread_original	original_or_legacy	exact config; best residual-error rank	benchmark/config/runs/arabidopsis/5x_proovread.yaml	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/benchmark/provenance.json	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/output/short_5x/proovread/quast/report.tsv	benchmark/runs/arabidopsis_5x/arabidopsis_5x_proovread_original/benchmark/short_5x/proovread/resources.time.txt	present	present
arabidopsis	10x	DADEC	arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1	dev_fix_a	exact config; current dev_fix_a revision; best residual-error rank within revision	benchmark/config/runs/arabidopsis/10x_dadec.yaml	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/provenance.json	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/output/short_10x/dadec/quast/report.tsv	benchmark/runs/arabidopsis_10x/arabidopsis_10x_dadec_dev_fix_a_k39_k39_s1_a2_a1_t0p1/benchmark/short_10x/dadec/resources.time.txt	present	present
