genome_ID	strain_taxid	species_taxid	organism_name	id
GCF_000021065.1_ASM2106v1	561501.0	9	Buchnera aphidicola str. Tuc7 (Acyrthosiphon pisum)	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000021065.1_ASM2106v1_genomic.fna
GCF_000183285.1_ASM18328v1	713601.0	9	Buchnera aphidicola str. JF99 (Acyrthosiphon pisum)	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000183285.1_ASM18328v1_genomic.fna
GCF_000021085.1_ASM2108v1	563178.0	9	Buchnera aphidicola str. 5A (Acyrthosiphon pisum)	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000021085.1_ASM2108v1_genomic.fna
GCF_009730575.1_ASM973057v1	24.1	24	Shewanella putrefaciens	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_009730575.1_ASM973057v1_genomic.fna
GCF_006402015.1_ASM640201v1	34.1	34	Myxococcus xanthus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_006402015.1_ASM640201v1_genomic.fna
GCF_000219105.1_ASM21910v1	35.0	35	Corallococcus macrosporus	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000219105.1_ASM21910v1_genomic.fna
GCF_002305895.1_ASM230589v1	1189310.0	35	Corallococcus macrosporus DSM 14697	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_002305895.1_ASM230589v1_genomic.fna
GCF_004135755.1_ASM413575v1	56.0	56	Sorangium cellulosum	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_004135755.1_ASM413575v1_genomic.fna
GCF_000418325.1_ASM41832v1	1254432.0	56	Sorangium cellulosum So0157-2	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_000418325.1_ASM41832v1_genomic.fna
GCF_005954665.1_ASM595466v1	69.1	69	Lysobacter enzymogenes	/home/work/wenhai/metaprofiling/bacteria_refgenome_NCBIdata/complete_genome/complete_genome_without_plasmid/GCF_005954665.1_ASM595466v1_genomic.fna
