#anonymous_read_id	genome_id	tax_id	read_id
NZ_LN831035.1	GCF_001457655.1	727	NZ_LN831035.1
NZ_AP017632.1	GCF_004295525.1	210	NZ_AP017632.1
NZ_ALAS01000001.1	GCF_000290615.1	1121088	NZ_ALAS01000001.1
NZ_ALAS01000002.1	GCF_000290615.1	1121088	NZ_ALAS01000002.1
NZ_ALAS01000003.1	GCF_000290615.1	1121088	NZ_ALAS01000003.1
NZ_ALAS01000004.1	GCF_000290615.1	1121088	NZ_ALAS01000004.1
NZ_ALAS01000005.1	GCF_000290615.1	1121088	NZ_ALAS01000005.1
NZ_ALAS01000006.1	GCF_000290615.1	1121088	NZ_ALAS01000006.1
NZ_ALAS01000007.1	GCF_000290615.1	1121088	NZ_ALAS01000007.1
NZ_ALAS01000008.1	GCF_000290615.1	1121088	NZ_ALAS01000008.1
NZ_ALAS01000009.1	GCF_000290615.1	1121088	NZ_ALAS01000009.1
NZ_ALAS01000010.1	GCF_000290615.1	1121088	NZ_ALAS01000010.1
NZ_ALAS01000011.1	GCF_000290615.1	1121088	NZ_ALAS01000011.1
NZ_ALAS01000012.1	GCF_000290615.1	1121088	NZ_ALAS01000012.1
NZ_ALAS01000013.1	GCF_000290615.1	1121088	NZ_ALAS01000013.1
NZ_ALAS01000014.1	GCF_000290615.1	1121088	NZ_ALAS01000014.1
NZ_ALAS01000015.1	GCF_000290615.1	1121088	NZ_ALAS01000015.1
NZ_ALAS01000016.1	GCF_000290615.1	1121088	NZ_ALAS01000016.1
NZ_ALAS01000017.1	GCF_000290615.1	1121088	NZ_ALAS01000017.1
NZ_ALAS01000018.1	GCF_000290615.1	1121088	NZ_ALAS01000018.1
NZ_ALAS01000019.1	GCF_000290615.1	1121088	NZ_ALAS01000019.1
NZ_ALAS01000020.1	GCF_000290615.1	1121088	NZ_ALAS01000020.1
NZ_ALAS01000021.1	GCF_000290615.1	1121088	NZ_ALAS01000021.1
NZ_ALAS01000022.1	GCF_000290615.1	1121088	NZ_ALAS01000022.1
NZ_ALAS01000023.1	GCF_000290615.1	1121088	NZ_ALAS01000023.1
NZ_ALAS01000024.1	GCF_000290615.1	1121088	NZ_ALAS01000024.1
NZ_ALAS01000025.1	GCF_000290615.1	1121088	NZ_ALAS01000025.1
NZ_ALAS01000167.1	GCF_000290615.1	1121088	NZ_ALAS01000167.1
NZ_ALAS01000168.1	GCF_000290615.1	1121088	NZ_ALAS01000168.1
NZ_ALAS01000169.1	GCF_000290615.1	1121088	NZ_ALAS01000169.1
NZ_ALAS01000170.1	GCF_000290615.1	1121088	NZ_ALAS01000170.1
NZ_ALAS01000158.1	GCF_000290615.1	1121088	NZ_ALAS01000158.1
NZ_ALAS01000159.1	GCF_000290615.1	1121088	NZ_ALAS01000159.1
NZ_ALAS01000160.1	GCF_000290615.1	1121088	NZ_ALAS01000160.1
NZ_ALAS01000161.1	GCF_000290615.1	1121088	NZ_ALAS01000161.1
NZ_ALAS01000162.1	GCF_000290615.1	1121088	NZ_ALAS01000162.1
NZ_ALAS01000163.1	GCF_000290615.1	1121088	NZ_ALAS01000163.1
NZ_ALAS01000164.1	GCF_000290615.1	1121088	NZ_ALAS01000164.1
NZ_ALAS01000165.1	GCF_000290615.1	1121088	NZ_ALAS01000165.1
NZ_ALAS01000166.1	GCF_000290615.1	1121088	NZ_ALAS01000166.1
NZ_ALAS01000026.1	GCF_000290615.1	1121088	NZ_ALAS01000026.1
NZ_ALAS01000148.1	GCF_000290615.1	1121088	NZ_ALAS01000148.1
NZ_ALAS01000149.1	GCF_000290615.1	1121088	NZ_ALAS01000149.1
NZ_ALAS01000150.1	GCF_000290615.1	1121088	NZ_ALAS01000150.1
NZ_ALAS01000151.1	GCF_000290615.1	1121088	NZ_ALAS01000151.1
NZ_ALAS01000152.1	GCF_000290615.1	1121088	NZ_ALAS01000152.1
NZ_ALAS01000153.1	GCF_000290615.1	1121088	NZ_ALAS01000153.1
NZ_ALAS01000154.1	GCF_000290615.1	1121088	NZ_ALAS01000154.1
NZ_ALAS01000155.1	GCF_000290615.1	1121088	NZ_ALAS01000155.1
NZ_ALAS01000156.1	GCF_000290615.1	1121088	NZ_ALAS01000156.1
NZ_ALAS01000157.1	GCF_000290615.1	1121088	NZ_ALAS01000157.1
NZ_ALAS01000027.1	GCF_000290615.1	1121088	NZ_ALAS01000027.1
NZ_ALAS01000028.1	GCF_000290615.1	1121088	NZ_ALAS01000028.1
NZ_ALAS01000029.1	GCF_000290615.1	1121088	NZ_ALAS01000029.1
NZ_ALAS01000147.1	GCF_000290615.1	1121088	NZ_ALAS01000147.1
NZ_ALAS01000139.1	GCF_000290615.1	1121088	NZ_ALAS01000139.1
NZ_ALAS01000140.1	GCF_000290615.1	1121088	NZ_ALAS01000140.1
NZ_ALAS01000141.1	GCF_000290615.1	1121088	NZ_ALAS01000141.1
NZ_ALAS01000142.1	GCF_000290615.1	1121088	NZ_ALAS01000142.1
NZ_ALAS01000143.1	GCF_000290615.1	1121088	NZ_ALAS01000143.1
NZ_ALAS01000144.1	GCF_000290615.1	1121088	NZ_ALAS01000144.1
NZ_ALAS01000145.1	GCF_000290615.1	1121088	NZ_ALAS01000145.1
NZ_ALAS01000146.1	GCF_000290615.1	1121088	NZ_ALAS01000146.1
NZ_ALAS01000127.1	GCF_000290615.1	1121088	NZ_ALAS01000127.1
NZ_ALAS01000128.1	GCF_000290615.1	1121088	NZ_ALAS01000128.1
NZ_ALAS01000129.1	GCF_000290615.1	1121088	NZ_ALAS01000129.1
NZ_ALAS01000130.1	GCF_000290615.1	1121088	NZ_ALAS01000130.1
NZ_ALAS01000131.1	GCF_000290615.1	1121088	NZ_ALAS01000131.1
NZ_ALAS01000132.1	GCF_000290615.1	1121088	NZ_ALAS01000132.1
NZ_ALAS01000133.1	GCF_000290615.1	1121088	NZ_ALAS01000133.1
NZ_ALAS01000134.1	GCF_000290615.1	1121088	NZ_ALAS01000134.1
NZ_ALAS01000135.1	GCF_000290615.1	1121088	NZ_ALAS01000135.1
NZ_ALAS01000136.1	GCF_000290615.1	1121088	NZ_ALAS01000136.1
NZ_ALAS01000137.1	GCF_000290615.1	1121088	NZ_ALAS01000137.1
NZ_ALAS01000138.1	GCF_000290615.1	1121088	NZ_ALAS01000138.1
NZ_ALAS01000030.1	GCF_000290615.1	1121088	NZ_ALAS01000030.1
NZ_ALAS01000119.1	GCF_000290615.1	1121088	NZ_ALAS01000119.1
NZ_ALAS01000120.1	GCF_000290615.1	1121088	NZ_ALAS01000120.1
NZ_ALAS01000121.1	GCF_000290615.1	1121088	NZ_ALAS01000121.1
NZ_ALAS01000122.1	GCF_000290615.1	1121088	NZ_ALAS01000122.1
NZ_ALAS01000123.1	GCF_000290615.1	1121088	NZ_ALAS01000123.1
NZ_ALAS01000124.1	GCF_000290615.1	1121088	NZ_ALAS01000124.1
NZ_ALAS01000125.1	GCF_000290615.1	1121088	NZ_ALAS01000125.1
NZ_ALAS01000126.1	GCF_000290615.1	1121088	NZ_ALAS01000126.1
NZ_ALAS01000113.1	GCF_000290615.1	1121088	NZ_ALAS01000113.1
NZ_ALAS01000114.1	GCF_000290615.1	1121088	NZ_ALAS01000114.1
NZ_ALAS01000115.1	GCF_000290615.1	1121088	NZ_ALAS01000115.1
NZ_ALAS01000116.1	GCF_000290615.1	1121088	NZ_ALAS01000116.1
NZ_ALAS01000117.1	GCF_000290615.1	1121088	NZ_ALAS01000117.1
NZ_ALAS01000118.1	GCF_000290615.1	1121088	NZ_ALAS01000118.1
NZ_ALAS01000031.1	GCF_000290615.1	1121088	NZ_ALAS01000031.1
NZ_ALAS01000108.1	GCF_000290615.1	1121088	NZ_ALAS01000108.1
NZ_ALAS01000109.1	GCF_000290615.1	1121088	NZ_ALAS01000109.1
NZ_ALAS01000110.1	GCF_000290615.1	1121088	NZ_ALAS01000110.1
NZ_ALAS01000111.1	GCF_000290615.1	1121088	NZ_ALAS01000111.1
NZ_ALAS01000112.1	GCF_000290615.1	1121088	NZ_ALAS01000112.1
NZ_ALAS01000107.1	GCF_000290615.1	1121088	NZ_ALAS01000107.1
NZ_ALAS01000097.1	GCF_000290615.1	1121088	NZ_ALAS01000097.1
NZ_ALAS01000098.1	GCF_000290615.1	1121088	NZ_ALAS01000098.1
NZ_ALAS01000099.1	GCF_000290615.1	1121088	NZ_ALAS01000099.1
NZ_ALAS01000100.1	GCF_000290615.1	1121088	NZ_ALAS01000100.1
NZ_ALAS01000101.1	GCF_000290615.1	1121088	NZ_ALAS01000101.1
NZ_ALAS01000102.1	GCF_000290615.1	1121088	NZ_ALAS01000102.1
NZ_ALAS01000103.1	GCF_000290615.1	1121088	NZ_ALAS01000103.1
NZ_ALAS01000104.1	GCF_000290615.1	1121088	NZ_ALAS01000104.1
NZ_ALAS01000105.1	GCF_000290615.1	1121088	NZ_ALAS01000105.1
NZ_ALAS01000106.1	GCF_000290615.1	1121088	NZ_ALAS01000106.1
NZ_ALAS01000032.1	GCF_000290615.1	1121088	NZ_ALAS01000032.1
NZ_ALAS01000033.1	GCF_000290615.1	1121088	NZ_ALAS01000033.1
NZ_ALAS01000034.1	GCF_000290615.1	1121088	NZ_ALAS01000034.1
NZ_ALAS01000035.1	GCF_000290615.1	1121088	NZ_ALAS01000035.1
NZ_ALAS01000054.1	GCF_000290615.1	1121088	NZ_ALAS01000054.1
NZ_ALAS01000055.1	GCF_000290615.1	1121088	NZ_ALAS01000055.1
NZ_ALAS01000056.1	GCF_000290615.1	1121088	NZ_ALAS01000056.1
NZ_ALAS01000057.1	GCF_000290615.1	1121088	NZ_ALAS01000057.1
NZ_ALAS01000092.1	GCF_000290615.1	1121088	NZ_ALAS01000092.1
NZ_ALAS01000093.1	GCF_000290615.1	1121088	NZ_ALAS01000093.1
NZ_ALAS01000094.1	GCF_000290615.1	1121088	NZ_ALAS01000094.1
NZ_ALAS01000095.1	GCF_000290615.1	1121088	NZ_ALAS01000095.1
NZ_ALAS01000096.1	GCF_000290615.1	1121088	NZ_ALAS01000096.1
NZ_ALAS01000036.1	GCF_000290615.1	1121088	NZ_ALAS01000036.1
NZ_ALAS01000049.1	GCF_000290615.1	1121088	NZ_ALAS01000049.1
NZ_ALAS01000050.1	GCF_000290615.1	1121088	NZ_ALAS01000050.1
NZ_ALAS01000051.1	GCF_000290615.1	1121088	NZ_ALAS01000051.1
NZ_ALAS01000052.1	GCF_000290615.1	1121088	NZ_ALAS01000052.1
NZ_ALAS01000053.1	GCF_000290615.1	1121088	NZ_ALAS01000053.1
NZ_ALAS01000037.1	GCF_000290615.1	1121088	NZ_ALAS01000037.1
NZ_ALAS01000041.1	GCF_000290615.1	1121088	NZ_ALAS01000041.1
NZ_ALAS01000042.1	GCF_000290615.1	1121088	NZ_ALAS01000042.1
NZ_ALAS01000043.1	GCF_000290615.1	1121088	NZ_ALAS01000043.1
NZ_ALAS01000044.1	GCF_000290615.1	1121088	NZ_ALAS01000044.1
NZ_ALAS01000045.1	GCF_000290615.1	1121088	NZ_ALAS01000045.1
