dataset_label	dataset_id	short_coverage	method	method_id	candidate_count	exact_config_count	exact_config_with_report_count	recommended_run_id	status	note
30s_ba	30strains	10x	DADEC	dadec	5	2	2	30strains_10x_dadec_dev_fix_a_k21_k21_s10_a2_a1	selected	exact config; current dev_fix_a revision; best residual-error rank within revision
30s_ba	30strains	10x	FMLRC	fmlrc	2	1	1	30strains_10x_fmlrc_original_k21_k31	selected	exact config; best residual-error rank
30s_ba	30strains	10x	F_HERO	f_hero	1	1	1	30strains_10x_f_hero_original_k21_k31_hs10_hi1	selected	exact config; best residual-error rank
30s_ba	30strains	10x	Ratatosk	ratatosk	2	1	1	30strains_10x_ratatosk_original_k21_k31	selected	exact config; best residual-error rank
30s_ba	30strains	10x	R_HERO	r_hero	1	1	1	30strains_10x_r_hero_original_k21_k31_hs10_hi1	selected	exact config; best residual-error rank
30s_ba	30strains	10x	LoRDEC	lordec	2	1	1	30strains_10x_lordec_original_k21_ls5	selected	exact config; best residual-error rank
30s_ba	30strains	10x	L_HERO	l_hero	1	1	1	30strains_10x_l_hero_original_k21_ls5_hs10_hi1	selected	exact config; best residual-error rank
30s_ba	30strains	10x	CoLoRMap	colormap	1	1	1	30strains_10x_colormap_original	selected	exact config; best residual-error rank
30s_ba	30strains	10x	Proovread	proovread	1	1	1	30strains_10x_proovread_original	selected	exact config; best residual-error rank
30s_ba	30strains	20x	DADEC	dadec	4	2	2	30strains_20x_dadec_dev_fix_a_k21_k21_s10_a2_a1	selected	exact config; current dev_fix_a revision; best residual-error rank within revision
30s_ba	30strains	20x	FMLRC	fmlrc	2	1	1	30strains_20x_fmlrc_original_k21_k31	selected	exact config; best residual-error rank
30s_ba	30strains	20x	F_HERO	f_hero	1	1	1	30strains_20x_f_hero_original_k21_k31_hs10_hi1	selected	exact config; best residual-error rank
30s_ba	30strains	20x	Ratatosk	ratatosk	2	1	1	30strains_20x_ratatosk_original_k21_k31	selected	exact config; best residual-error rank
30s_ba	30strains	20x	R_HERO	r_hero	1	1	1	30strains_20x_r_hero_original_k21_k31_hs10_hi1	selected	exact config; best residual-error rank
30s_ba	30strains	20x	LoRDEC	lordec	2	1	1	30strains_20x_lordec_original_k31_ls5	selected	exact config; best residual-error rank
