#HP Len	OC rate	UC rate
4	0.6502167794934206	0.4773408382140412
5	0.6258247397487904	0.47026049557695127
6	0.5812857142857143	0.44085714285714284
7	0.5257126065236556	0.39817807816632383
8	0.5226198514517219	0.4186360567184335
9	0.6642561983471075	0.5020661157024794
10	0.7004504504504504	0.5900900900900901
11	0.7425373134328358	0.5335820895522388
12	0.6785714285714286	0.4785714285714286
13	0.7121212121212122	0.5606060606060606
14	0.8148148148148148	0.5802469135802469
15	0.7169811320754716	0.6037735849056604
16	0.696969696969697	0.5151515151515151
17	0.7906976744186046	0.5348837209302325
18	0.5714285714285714	0.7142857142857143
19	0.8333333333333334	0.8333333333333334
20	1.0	1.0
21	0.6666666666666666	0.6666666666666666
22	0.6666666666666666	0.6666666666666666
23	0	0
24	1.0	1.0
25	1.0	0.0
26	0	0
27	1.0	1.0
28	1.0	0.5
29	1.0	1.0
30	1.0	0.8333333333333334
31	1.0	0.75
32	1.0	1.0
33	0	0
34	1.0	1.0
35	1.0	1.0
36	1.0	1.0
37	0	0
38	1.0	1.0
