name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4339	2647	0.0099542
Acinetobacter baumannii	470	species	11893028	21169	1266	0.233952
Escherichia coli	562	species	5070115	3986	3962	0.00548723
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1847	1847	0.0
Streptococcus pneumoniae	1313	species	2160842	3794	2023	0.084577
Clostridium butyricum	1492	species	9410692	10428	1836	0.106514
Clostridium perfringens	1502	species	3256683	2374	2315	0.00698239
Clostridium septicum	1504	species	6803993	8824	3904	0.10799
Clostridium sporogenes	1509	species	12562466	19529	4001	0.119946
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2978	2978	0.0102452
Enterobacter hormaechei	158836	species	4670207	4215	4209	0.00638901
Streptococcus pneumoniae TIGR4	170187	strain	2160842	946	911	3.09298e-15
Clostridium perfringens ATCC 13124	195103	strain	3256683	1465	1406	0.00504284
Bacillus anthracis str. Ames	198094	strain	5227293	6529	141	0.149105
Trichodesmium erythraeum IMS101	203124	strain	7750108	6696	6696	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6517	129	0.148962
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	1794	1791	0.0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3270	3246	0.00485402
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4837	4836	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3284	3283	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	2949	2948	0.0
