#anonymous_read_id	genome_id	tax_id	read_id
NZ_LQXF01000001.1	GCF_001679535.1	1313	NZ_LQXF01000001.1
NZ_LQXF01000002.1	GCF_001679535.1	1313	NZ_LQXF01000002.1
NZ_LQXF01000003.1	GCF_001679535.1	1313	NZ_LQXF01000003.1
NZ_LQXF01000004.1	GCF_001679535.1	1313	NZ_LQXF01000004.1
NZ_LQXF01000005.1	GCF_001679535.1	1313	NZ_LQXF01000005.1
NZ_LQXF01000006.1	GCF_001679535.1	1313	NZ_LQXF01000006.1
NZ_LQXF01000007.1	GCF_001679535.1	1313	NZ_LQXF01000007.1
NZ_LQXF01000008.1	GCF_001679535.1	1313	NZ_LQXF01000008.1
NZ_LQXF01000009.1	GCF_001679535.1	1313	NZ_LQXF01000009.1
NZ_LQXF01000010.1	GCF_001679535.1	1313	NZ_LQXF01000010.1
NZ_LQXF01000011.1	GCF_001679535.1	1313	NZ_LQXF01000011.1
NZ_LQXF01000012.1	GCF_001679535.1	1313	NZ_LQXF01000012.1
NZ_LQXF01000013.1	GCF_001679535.1	1313	NZ_LQXF01000013.1
NZ_LQXF01000014.1	GCF_001679535.1	1313	NZ_LQXF01000014.1
NZ_LQXF01000015.1	GCF_001679535.1	1313	NZ_LQXF01000015.1
NZ_LQXF01000016.1	GCF_001679535.1	1313	NZ_LQXF01000016.1
NZ_LQXF01000017.1	GCF_001679535.1	1313	NZ_LQXF01000017.1
NZ_LQXF01000018.1	GCF_001679535.1	1313	NZ_LQXF01000018.1
NZ_LQXF01000019.1	GCF_001679535.1	1313	NZ_LQXF01000019.1
NZ_LQXF01000020.1	GCF_001679535.1	1313	NZ_LQXF01000020.1
NZ_LQXF01000021.1	GCF_001679535.1	1313	NZ_LQXF01000021.1
NZ_LQXF01000022.1	GCF_001679535.1	1313	NZ_LQXF01000022.1
NZ_LQXF01000023.1	GCF_001679535.1	1313	NZ_LQXF01000023.1
NZ_LQXF01000024.1	GCF_001679535.1	1313	NZ_LQXF01000024.1
NZ_LQXF01000025.1	GCF_001679535.1	1313	NZ_LQXF01000025.1
NZ_LQXF01000026.1	GCF_001679535.1	1313	NZ_LQXF01000026.1
NZ_LQXF01000027.1	GCF_001679535.1	1313	NZ_LQXF01000027.1
NZ_LQXF01000028.1	GCF_001679535.1	1313	NZ_LQXF01000028.1
NZ_LQXF01000029.1	GCF_001679535.1	1313	NZ_LQXF01000029.1
NZ_LQXF01000030.1	GCF_001679535.1	1313	NZ_LQXF01000030.1
NZ_LQXF01000031.1	GCF_001679535.1	1313	NZ_LQXF01000031.1
NZ_LQXF01000032.1	GCF_001679535.1	1313	NZ_LQXF01000032.1
NZ_LQXF01000033.1	GCF_001679535.1	1313	NZ_LQXF01000033.1
NZ_LQXF01000035.1	GCF_001679535.1	1313	NZ_LQXF01000035.1
NZ_LQXF01000036.1	GCF_001679535.1	1313	NZ_LQXF01000036.1
NZ_LQXF01000037.1	GCF_001679535.1	1313	NZ_LQXF01000037.1
NZ_LQXF01000038.1	GCF_001679535.1	1313	NZ_LQXF01000038.1
NZ_LQXF01000039.1	GCF_001679535.1	1313	NZ_LQXF01000039.1
NZ_LQXF01000040.1	GCF_001679535.1	1313	NZ_LQXF01000040.1
