config	dataset	long_read_label	evaluation_tool	long_reads	genome_map	output_dir	report	status	message
100strains.yaml	100strains	full	metaquast	/home/work/wenhai/dadec/data/100strains/sim_100strains_long_10x.fq.gz	/home/work/wenhai/dadec/data/100strains/genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/100strains/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/100strains/full/combined_reference/report.tsv	completed	
100strains_legacy.yaml	100strains_legacy	full	metaquast	/home/yczhang/zyc/final_result/100strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/100strains/data/CAMI_paths.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/100strains_legacy/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/100strains_legacy/full/combined_reference/report.tsv	completed	
30strains.yaml	30strains	full	metaquast	/home/work/wenhai/dadec/data/30strains/sim_30strains_long_10x.fq.gz	/home/work/wenhai/dadec/data/30strains/genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/30strains/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/30strains/full/combined_reference/report.tsv	completed	
30strains_legacy.yaml	30strains_legacy	full	metaquast	/home/yczhang/zyc/final_result/30strains/data/long/long_reads.fa	/home/yczhang/zyc/final_result/30strains/data/CAMI_paths.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/30strains_legacy/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/30strains_legacy/full/combined_reference/report.tsv	completed	
arabidopsis.yaml	arabidopsis	full	quast	/home/yczhang/zyc/final_result/Arabidopsis/data/long/long_a01.fa	/home/work/wenhai/dadec/benchmark/config/datasets/arabidopsis_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/arabidopsis/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/arabidopsis/full/report.tsv	completed	
arabidopsis_sim.yaml	arabidopsis_sim	full	quast	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/data/long_reads.fa	/home/work/wenhai/dadec/benchmark/config/datasets/arabidopsis_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/arabidopsis_sim/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/arabidopsis_sim/full/report.tsv	completed	
drosophila.yaml	drosophila	full	quast	/home/yczhang/zyc/final_result/Drosophila/data/long_reads.fa	/home/work/wenhai/dadec/benchmark/config/datasets/drosophila_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/drosophila/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/drosophila/full/report.tsv	completed	
ecoli3.yaml	ecoli3	full	metaquast	/home/yczhang/zyc/final_result/ecoil/data/long/long_reads.fa	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli3_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli3/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli3/full/combined_reference/report.tsv	completed	
ecoli3_error.yaml	ecoli3_error	full	metaquast	/home/work/wenhai/dadec/data/errors_ecoli3/long/sim_ecoli3_long_error_20x.fastq	benchmark/config/datasets/ecoli3_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli3_error/full		failed	/home/work/wenhai/dadec/data/errors_ecoli3/long/sim_ecoli3_long_error_20x.fastq
ecoli3_error_readcount.yaml	ecoli3_error_readcount	full	metaquast	/home/work/wenhai/dadec/data/errors_ecoli3_readcount/long/sim_ecoli3_long_error_20x.fastq	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli3_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli3_error_readcount/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli3_error_readcount/full/combined_reference/report.tsv	completed	
ecoli_error.yaml	ecoli_error	full	quast	/home/work/wenhai/dadec/data/errors/long/sim_ecoli_long_error_20x_0001.fastq	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli_error_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli_error/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli_error/full/report.tsv	completed	
ecoli_error_tech.yaml	ecoli_error	full	quast	/home/work/wenhai/dadec/data/errors/long/sim_ecoli_long_error_20x_0001.fastq	/home/work/wenhai/dadec/benchmark/config/datasets/ecoli_error_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli_error_tech/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/ecoli_error_tech/full/report.tsv	completed	
mhc_ont.yaml	mhc_ont	full	metaquast	/home/yczhang/zyc/final_result/mhc/data/nano/reads.fa	/home/work/wenhai/dadec/benchmark/config/datasets/mhc_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/mhc_ont/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/mhc_ont/full/combined_reference/report.tsv	completed	
mhc_pac.yaml	mhc_pac	full	metaquast	/home/yczhang/zyc/final_result/mhc/data/pac/reads.fa	/home/work/wenhai/dadec/benchmark/config/datasets/mhc_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/mhc_pac/full	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/mhc_pac/full/combined_reference/report.tsv	completed	
zymo.yaml	zymo	5pct	metaquast	/home/work/wenhai/dadec/data/zymo/long_reads_5.fa	/home/work/wenhai/dadec/benchmark/config/datasets/zymo_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/5pct	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/5pct/combined_reference/report.tsv	completed	
zymo.yaml	zymo	10pct	metaquast	/home/work/wenhai/dadec/data/zymo/long_reads_10.fa	/home/work/wenhai/dadec/benchmark/config/datasets/zymo_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/10pct	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/10pct/combined_reference/report.tsv	completed	
zymo.yaml	zymo	20pct	metaquast	/home/work/wenhai/dadec/data/zymo/long_reads_20.fa	/home/work/wenhai/dadec/benchmark/config/datasets/zymo_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/20pct	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/20pct/combined_reference/report.tsv	completed	
zymo.yaml	zymo	30pct	metaquast	/home/work/wenhai/dadec/data/zymo/long_reads_30.fa	/home/work/wenhai/dadec/benchmark/config/datasets/zymo_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/30pct	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/30pct/combined_reference/report.tsv	completed	
zymo.yaml	zymo	40pct	metaquast	/home/work/wenhai/dadec/data/zymo/long_reads_40.fa	/home/work/wenhai/dadec/benchmark/config/datasets/zymo_genome_to_id.tsv	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/40pct	/home/work/wenhai/dadec/benchmark/results/raw_long_reads/zymo/40pct/combined_reference/report.tsv	completed	
