#HP Len	OC rate	UC rate
4	0.6570630808340395	0.7062941920068901
5	0.6680674127482639	0.7032777458309373
6	0.65625	0.6770833333333334
7	0.6647741935483871	0.6701935483870968
8	0.6515062020082694	0.6426461901949203
9	0.7396226415094339	0.7311320754716981
10	0.7391304347826086	0.7035573122529645
11	0.7814569536423841	0.7516556291390728
12	0.743421052631579	0.7105263157894737
13	0.7971014492753623	0.7681159420289855
14	0.7777777777777778	0.7888888888888889
15	0.7619047619047619	0.7777777777777778
16	0.8947368421052632	0.8421052631578947
17	0.9347826086956522	0.8913043478260869
18	0.8125	0.75
19	0.8333333333333334	0.8333333333333334
20	1.0	1.0
21	1.0	0.8
22	1.0	1.5
23	0	0
24	1.0	1.0
25	1.0	0.0
26	0	0
27	1.0	1.0
28	0.5	1.0
29	0.8	1.0
30	1.0	1.0
31	0.75	1.0
32	1.0	1.0
33	0	0
34	1.0	1.0
35	1.0	1.0
36	1.0	1.0
37	0	0
38	1.0	1.0
