name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4862	2127	0.011528
Acinetobacter baumannii	470	species	11893028	22663	589	0.138591
Escherichia coli	562	species	5070115	4351	4316	0
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1846	1846	0.0
Streptococcus pneumoniae	1313	species	2160842	4319	2005	0.119715
Clostridium butyricum	1492	species	9410692	11673	461	0.13052
Clostridium perfringens	1502	species	3256683	2348	2259	0
Clostridium septicum	1504	species	6803993	10713	1827	0.172866
Clostridium sporogenes	1509	species	12562466	27060	1085	0.144538
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2964	2964	0.0180297
Enterobacter hormaechei	158836	species	4670207	4435	4429	0.0017268
Streptococcus pneumoniae TIGR4	170187	strain	2160842	673	640	1.2722e-13
Clostridium perfringens ATCC 13124	195103	strain	3256683	1449	1359	0.00933372
Bacillus anthracis str. Ames	198094	strain	5227293	6495	106	0.0699025
Trichodesmium erythraeum IMS101	203124	strain	7750108	6700	6700	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6559	170	0.18014
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	1250	1233	0
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3484	3445	0.00227201
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4804	4804	0.000837496
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3476	3470	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	2505	2499	0.0
