#HP Len	OC rate	UC rate
4	0.6722074106316992	0.6300941291691604
5	0.686800121060141	0.6353927969216135
6	0.6868398160805269	0.6316639741518578
7	0.687625754527163	0.6350603621730382
8	0.689873417721519	0.6645569620253164
9	0.7453358208955224	0.6902985074626866
10	0.7602339181286549	0.6783625730994152
11	0.7508196721311475	0.740983606557377
12	0.7727272727272727	0.7207792207792207
13	0.7272727272727273	0.6623376623376623
14	0.7391304347826086	0.7282608695652174
15	0.8064516129032258	0.7741935483870968
16	0.8947368421052632	0.8421052631578947
17	0.8913043478260869	0.8695652173913043
18	0.875	0.75
19	0.8571428571428571	0.7142857142857143
20	1.0	1.0
21	1.0	0.6666666666666666
22	0.6666666666666666	1.0
23	0	0
24	1.0	1.0
25	1.0	0.0
26	0	0
27	1.0	1.0
28	1.0	2.0
29	1.0	1.25
30	1.0	1.0
31	1.0	1.0
32	1.0	1.0
33	0	0
34	1.0	0.75
35	1.0	1.0
36	1.0	1.0
37	0	0
38	1.0	1.0
