coverage	method	method_dir	status	precision	recall	accuracy	F1	macro_precision	macro_recall	macro_F1	micro_precision	micro_recall	micro_F1	micro_accuracy	total_assignments	metrics_json	report	assignments	provenance
10x	DADEC	dadec_dev	ok	0.6932985685541528	0.6776212604421439	0.6219942133287948	0.6853702746868187	0.6932985685541528	0.6776212604421439	0.6853702746868187	0.6221000924079568	0.6219942133287948	0.622047148362938	0.6219942133287948	123387	benchmark/results/classification/30strains_legacy/10x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/10x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/10x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/dadec_dev/provenance.json
10x	FMLRC	fmlrc_current	ok	0.622836631675466	0.5990717312272589	0.6202777944081902	0.610723079631267	0.622836631675466	0.5990717312272589	0.610723079631267	0.6204821081000149	0.6202777944081902	0.6203799344321193	0.6202777944081902	100218	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/metrics.json	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/report.tsv	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/fmlrc_current/provenance.json
10x	F_HERO	f_hero	ok	0.5740623305465161	0.5676185575973066	0.5689185260556726	0.5708222593890231	0.5740623305465161	0.5676185575973066	0.5708222593890231	0.5690891411226928	0.5689185260556726	0.5690038207995056	0.5689185260556726	110072	benchmark/results/classification/30strains_legacy/10x/f_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/f_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/f_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/f_hero/provenance.json
10x	Ratatosk	ratatosk	ok	0.6959979948576331	0.6775457467802198	0.6225026288117771	0.6866479266558143	0.6959979948576331	0.6775457467802198	0.6866479266558143	0.6226548932319057	0.6225026288117771	0.6225787517119938	0.6225026288117771	122679	benchmark/results/classification/30strains_legacy/10x/ratatosk/metrics.json	benchmark/results/classification/30strains_legacy/10x/ratatosk/report.tsv	benchmark/results/classification/30strains_legacy/10x/ratatosk/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/ratatosk/provenance.json
10x	R_HERO	r_hero	ok	0.6333209692942305	0.624234792531685	0.5793447337981055	0.6287450558841732	0.6333209692942305	0.624234792531685	0.6287450558841732	0.5794851348921566	0.5793447337981055	0.5794149258397984	0.5793447337981055	127948	benchmark/results/classification/30strains_legacy/10x/r_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/r_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/r_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/r_hero/provenance.json
10x	LoRDEC	lordec	ok	0.6348406769232459	0.6079783716282545	0.6100466032521956	0.6211192231870267	0.6348406769232459	0.6079783716282545	0.6211192231870267	0.6101690277030294	0.6100466032521956	0.610107809336179	0.6100466032521956	109649	benchmark/results/classification/30strains_legacy/10x/lordec/metrics.json	benchmark/results/classification/30strains_legacy/10x/lordec/report.tsv	benchmark/results/classification/30strains_legacy/10x/lordec/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/lordec/provenance.json
10x	L_HERO	l_hero	ok	0.6250004313627419	0.6080580975947735	0.5667267366897144	0.6164128698929516	0.6250004313627419	0.6080580975947735	0.6164128698929516	0.5668122139016463	0.5667267366897144	0.5667694720728736	0.5667267366897144	132623	benchmark/results/classification/30strains_legacy/10x/l_hero/metrics.json	benchmark/results/classification/30strains_legacy/10x/l_hero/report.tsv	benchmark/results/classification/30strains_legacy/10x/l_hero/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/l_hero/provenance.json
10x	CoLoRMap	colormap	ok	0.6974150175792836	0.6996799382419169	0.665428994659494	0.6985456420061806	0.6974150175792836	0.6996799382419169	0.6985456420061806	0.6656106215394213	0.665428994659494	0.6655197957075186	0.665428994659494	102612	benchmark/results/classification/30strains_legacy/10x/colormap/metrics.json	benchmark/results/classification/30strains_legacy/10x/colormap/report.tsv	benchmark/results/classification/30strains_legacy/10x/colormap/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/colormap/provenance.json
10x	Proovread	proovread	ok	0.6374552804561181	0.6136586976358043	0.6256704798974699	0.6253306797872367	0.6374552804561181	0.6136586976358043	0.6253306797872367	0.6256704798974699	0.6256704798974699	0.6256704798974699	0.6256704798974699	105335	benchmark/results/classification/30strains_legacy/10x/proovread/metrics.json	benchmark/results/classification/30strains_legacy/10x/proovread/report.tsv	benchmark/results/classification/30strains_legacy/10x/proovread/assignments.tsv	benchmark/results/classification/30strains_legacy/10x/proovread/provenance.json
20x	DADEC	dadec_dev	ok	0.7175936080380239	0.7165006272951843	0.6801712133531462	0.7170467011643705	0.7175936080380239	0.7165006272951843	0.7170467011643705	0.6802792941000524	0.6801712133531462	0.6802252494333715	0.6801712133531462	107001	benchmark/results/classification/30strains_legacy/20x/dadec_dev/metrics.json	benchmark/results/classification/30strains_legacy/20x/dadec_dev/report.tsv	benchmark/results/classification/30strains_legacy/20x/dadec_dev/assignments.tsv	benchmark/results/classification/30strains_legacy/20x/dadec_dev/provenance.json
