dataset	type	source_or_accession	download_or_generation	configuration	bundled_material	notes
E. coli 3-strain	simulated	Figshare DOI 10.6084/m9.figshare.29994850	Download the published DADEC simulated benchmark archive; historical ART/PBSIM commands are indexed in SOURCE_CODE_MAP.tsv	config/datasets/ecoli3.yaml; config/runs/ecoli3/	configs, final reports, summaries, provenance	Raw reads and references are intentionally excluded
30S-BA	simulated broad-abundance	Project data/30strains	Use metadata/metagenome/30S-BA simulation configs and commands	config/datasets/30strains.yaml; config/runs/30strains/	community metadata, simulation configs, truth mappings, final summaries	Raw genomes, reads, BAM and indexes are excluded
30S-NU	simulated near-uniform	/home/yczhang/zyc/final_result/30strains/data	Use bundled ART/PBSIM/CAMISIM configs and workflow/legacy_final_result/30strains/data scripts	config/datasets/30strains_legacy.yaml; config/runs/30strains_legacy/	community metadata, generation scripts, truth mappings, final summaries	Historical absolute paths are preserved as provenance
100S-BA	simulated broad-abundance	Project data/100strains	Use metadata/metagenome/100S-BA simulation configs and commands	config/datasets/100strains.yaml; config/runs/100strains/	community metadata, simulation configs, truth mappings, final summaries	Raw genomes, reads, BAM and indexes are excluded
100S-NU	simulated near-uniform	/home/yczhang/zyc/final_result/100strains/data	Use bundled ART/PBSIM/CAMISIM configs and workflow/legacy_final_result/100strains/data scripts	config/datasets/100strains_legacy.yaml; config/runs/100strains_legacy/	community metadata, generation scripts, truth mappings, final summaries	Historical absolute paths are preserved as provenance
Arabidopsis real	real	PacBio Arabidopsis demo data; Illumina SRA SRR1652473	Download from PacBio and NCBI SRA, then set paths in the dataset config	config/datasets/arabidopsis.yaml; config/runs/arabidopsis/	configs, compact final evidence, provenance	Exact historical paths are listed in EXTERNAL_DATA.tsv
Arabidopsis simulated	simulated	Arabidopsis reference plus ART/PBSIM2	Use workflow/legacy_final_result/Arabidopsis/data/sim/data scripts or the published archive	config/datasets/arabidopsis_sim.yaml; config/runs/arabidopsis_sim/	generation scripts, configs, hifieval summaries	Check ISSUES.md before treating historical scripts as canonical
Drosophila	real	SRA SRR6702604 and SRR6702603; reference GCF_000001215.4	Download with NCBI tools and set paths in config/datasets/drosophila.yaml	config/datasets/drosophila.yaml; config/runs/drosophila/	configs, assembly/correction summaries, provenance	Raw reads, assemblies and indexes are excluded
MHC PacBio	simulated	Vega chromosome 6 PGF/COX haplotypes	Acquire archived haplotypes; simulate reads using the recorded PBSIM2 workflow	config/datasets/mhc_pac.yaml; config/runs/mhc_pac/	configs, scripts, final evaluation reports	Verify reference checksums locally
MHC ONT	simulated	Vega chromosome 6 PGF/COX haplotypes	Acquire archived haplotypes; reproduce ONT simulation according to the recorded workflow	config/datasets/mhc_ont.yaml; config/runs/mhc_ont/	configs, scripts, final evaluation reports	Verify reference checksums locally
Zymo D6330	real	LomanLab mockcommunity repository	Download the Zymo D6330 reads/reference, then set paths in config/datasets/zymo.yaml	config/datasets/zymo.yaml; config/runs/zymo/	configs, depth-series summaries, final reports	Raw reads and reference are excluded
