method	filter_state	raw_errors	corrected_errors	read_oc	read_uc	read_cc	base_oc	base_uc	base_cc	FDR	FNR	TPR	read_mapping_mode	corrected_fasta
dadec	unfiltered	191050136	11797884	3995	2176	595	7782519	3949439	186048248	0.040151102533686	0.02078677410425528	0.9792132258957447	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/arabidopsis_sim_32x/arabidopsis_sim_32x_dadec_original_dev_fix_a_k39_k39_s4_a3_a2_t0p1/output/short_32x/dadec/corrected.fa
dadec	filtered	187784780	11221678	3995	2176	595	7274725	3883881	182866122	0.03825966442655007	0.02079722054944224	0.9792027794505578	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/arabidopsis_sim_32x/arabidopsis_sim_32x_dadec_original_dev_fix_a_k39_k39_s4_a3_a2_t0p1/output/short_32x/dadec/corrected.fa
fmlrc	unfiltered	191053994	32496081	9921	2206	565	19611713	12415598	177585945	0.09945205840122097	0.06534472196365268	0.9346552780363473	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/fmlrc1.fa
fmlrc	filtered	181032789	30288873	9921	2206	565	18092887	11760307	168295093	0.09707110404866237	0.0653149364029071	0.9346850635970929	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/fmlrc1.fa
f_hero	unfiltered	191053638	150248006	19441	2221	550	126895297	15580404	174420788	0.4211368171732352	0.08200161186357188	0.9179983881364281	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/F_HERO.fa
f_hero	filtered	173096038	132756774	19441	2221	550	111978739	13894024	158265968	0.4143605262174478	0.08070413943792469	0.9192958605620754	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/F_HERO.fa
ratatosk	unfiltered	191053510	56422556	2289	2352	419	14711611	41342673	148658390	0.09005087170195952	0.2175917984206225	0.7824082015793775	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/ratatosk1.fa
ratatosk	filtered	189307264	55796951	2289	2352	419	14254630	41177600	147086337	0.08835096420365449	0.21872271798926632	0.7812772820107337	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/ratatosk1.fa
r_hero	unfiltered	191051275	154477780	11200	2312	459	114032442	33432453	156566398	0.4214077266554432	0.1759613430504377	0.8240386569495622	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/R_HERO.fa
r_hero	filtered	181583495	143328626	11200	2312	459	104419459	32448434	148131997	0.41345815484033477	0.17968964754547517	0.8203103524545248	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/R_HERO.fa
lordec	unfiltered	191054624	30224226	2683	2304	467	12629135	17361844	172640314	0.06816631165130739	0.09137708846443733	0.9086229115355626	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/lordec1.fa
lordec	filtered	188990191	29873052	2683	2304	467	12331504	17310090	170638498	0.06739631559931884	0.09210013325559009	0.9078998667444099	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/lordec1.fa
l_hero	unfiltered	191054150	144536637	11776	2308	463	116236714	20916609	169085079	0.407388138066271	0.11008643775838454	0.8899135622416154	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/L_HERO.fa
l_hero	filtered	181080513	132504141	11776	2308	463	105777017	19971641	160108805	0.397828722886924	0.11090399565092147	0.8890960043490785	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/L_HERO.fa
colormap	unfiltered	191054624	34121388	2304	2280	491	19784038	14119111	175883047	0.10111071057250125	0.07431026651813082	0.9256897334818692	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/colormap_sp.fa
colormap	filtered	189319343	33420358	2304	2280	491	19210694	13994979	174281481	0.09928408732807929	0.07433206997837116	0.9256679300216288	legacy_endpoint	/home/yczhang/zyc/final_result/Arabidopsis/data/sim/cor/colormap_sp.fa
proovread	unfiltered	191054624	19659313	2948	2273	498	12887270	6610532	183391626	0.0656579503076072	0.03479187852171658	0.9652081214782834	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/arabidopsis_sim_32x/arabidopsis_sim_32x_proovread_original/output/short_32x/proovread/corrected.fa
proovread	filtered	188787835	19514083	2948	2273	498	12767514	6586060	181161585	0.06583598885281265	0.035079321500943464	0.9649206784990565	legacy_endpoint	/home/work/wenhai/dadec/benchmark/runs/arabidopsis_sim_32x/arabidopsis_sim_32x_proovread_original/output/short_32x/proovread/corrected.fa
