#HP Len	OC rate	UC rate
4	0.4368780576465777	0.31793465913393815
5	0.40680664742760475	0.30689620857796795
6	0.37404120920439166	0.2786885245901639
7	0.289171974522293	0.22388535031847134
8	0.33505917159763315	0.2492603550295858
9	0.42903930131004364	0.33406113537117904
10	0.495260663507109	0.3981042654028436
11	0.472	0.424
12	0.5	0.5161290322580645
13	0.6129032258064516	0.5483870967741935
14	0.5432098765432098	0.4444444444444444
15	0.6296296296296297	0.4074074074074074
16	0.5357142857142857	0.39285714285714285
17	0.35	0.3
18	0.38461538461538464	0.38461538461538464
19	0.8333333333333334	0.8333333333333334
20	0.75	0.75
21	0.6666666666666666	0.6666666666666666
22	0.6666666666666666	0.6666666666666666
23	0	0
24	0.0	0.0
25	1.0	0.0
26	0	0
27	1.0	0.8
28	0.3333333333333333	0.6666666666666666
29	0.75	0.75
30	0.8333333333333334	0.6666666666666666
31	1.0	0.5
32	1.0	0.5
33	0	0
34	0.75	0.75
35	1.0	0.0
36	1.0	1.0
37	0	0
38	1.0	1.0
