analysis	paper_scope	code	config	result	reproduction	input_source	collector_or_plot
Simulated correction: 3 E. coli	Main Table 1	workflow/benchmark/run_one.sh	config/runs/ecoli3/20x_dadec.yaml	results/ecoli3_20x/comparative_ambiguity9999.tsv	cd workflow && CORES=64 benchmark/run_one.sh benchmark/config/runs/ecoli3/20x_dadec.yaml	paths declared by config/runs/ecoli3/20x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Simulated correction: 30 strains	Main Table 1; Supplementary Table S1	workflow/benchmark/run_one.sh	config/runs/30strains/30x_dadec.yaml	results/30strains_30x/comparative_ambiguity9999.tsv	cd workflow && CORES=64 benchmark/run_one.sh benchmark/config/runs/30strains/30x_dadec.yaml	paths declared by config/runs/30strains/30x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Simulated correction: 100 strains	Main Table 1; Supplementary Table S2	workflow/benchmark/run_one.sh	config/runs/100strains/30x_dadec.yaml	results/100strains_30x/comparative_ambiguity9999.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/100strains.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/100strains/30x_dadec.yaml	paths declared by config/runs/100strains/30x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Simulated correction: MHC PacBio	Main Table 2	workflow/benchmark/run_one.sh	config/runs/mhc_pac/50x_dadec.yaml	results/mhc_pac_50x/comparative_ambiguity9999_metrics_only.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/mhc_pac.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/mhc_pac/50x_dadec.yaml	paths declared by config/runs/mhc_pac/50x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Simulated correction: MHC ONT	Main Table 2	workflow/benchmark/run_one.sh	config/runs/mhc_ont/50x_dadec.yaml	results/mhc_ont_50x/comparative_ambiguity9999_metrics_only.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/mhc_ont.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/mhc_ont/50x_dadec.yaml	paths declared by config/runs/mhc_ont/50x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Real correction: Zymo	Main Table 3	workflow/benchmark/run_one.sh	config/runs/zymo/10pct_dadec.yaml	results/zymo_10pct/comparative_ambiguity9999_metrics_only.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/zymo.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/zymo/10pct_dadec.yaml	paths declared by config/runs/zymo/10pct_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Real correction: Arabidopsis	Main Table 3	workflow/benchmark/run_one.sh	config/runs/arabidopsis/32x_dadec.yaml	results/arabidopsis_32x/table_corrected_only.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/arabidopsis.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/arabidopsis/32x_dadec.yaml	paths declared by config/runs/arabidopsis/32x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Real correction: Drosophila	Main Table 3	workflow/benchmark/run_one.sh	config/runs/drosophila/43x_dadec.yaml	results/drosophila_43x_best_parameter_runs.tsv	cd workflow && DATASET_CONFIG=benchmark/config/datasets/drosophila.yaml CORES=64 benchmark/run_one.sh benchmark/config/runs/drosophila/43x_dadec.yaml	paths declared by config/runs/drosophila/43x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Raw-read baselines	Raw rows in correction tables	workflow/benchmark/scripts/evaluate_raw_long_reads.py	config/datasets/ecoli3.yaml	results/raw_long_reads/summary.tsv	cd workflow && QUAST_THREADS=64 bash benchmark/work_scripts/evaluate_raw_long_reads.sh	paths declared by config/datasets/ecoli3.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_summaries.py
Short-read coverage sensitivity	Coverage figure and supplementary tables	workflow/benchmark/work_scripts/final_collect_res/coverage_depths/collect_results.py	config/runs/arabidopsis/32x_dadec.yaml	results/coverage_depths/arabidopsis/selected_results.tsv	cd workflow && bash benchmark/work_scripts/final_collect_res/coverage_depths/collect_results.sh	paths declared by config/runs/arabidopsis/32x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/work_scripts/final_collect_res/coverage_depths/collect_results.py; workflow/benchmark/work_scripts/final_collect_res/plot_coverage_depths.py
Short-read quality sensitivity	Short-read quality supplementary analysis	workflow/benchmark/work_scripts/final_collect_res/short_read_quality/collect_results.py	config/datasets/ecoli3_error_readcount.yaml	results/ecoli3_error_readcount_quality/quality_sensitivity.tsv	cd workflow && bash benchmark/work_scripts/final_collect_res/short_read_quality/collect_results.sh	paths declared by config/datasets/ecoli3_error_readcount.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/work_scripts/final_collect_res/short_read_quality/collect_results.py
Under/over-correction: E. coli	Main hifieval result	workflow/benchmark/scripts/run_hifieval_eval.py	config/runs/ecoli3/hifieval/20x_dadec_hifieval.yaml	results/hifieval/ecoli3_20x/summary.tsv	cd workflow && bash benchmark/work_scripts/hifieval/ecoli3_all.sh	paths declared by config/runs/ecoli3/hifieval/20x_dadec_hifieval.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_hifieval_results.py; workflow/benchmark/work_scripts/hifieval/plot_oc_composition.py
Under/over-correction: Arabidopsis	Independent hifieval validation	workflow/benchmark/scripts/run_hifieval_eval.py	config/runs/arabidopsis_sim/hifieval/32x_dadec_hifieval.yaml	results/hifieval/arabidopsis_sim_32x/summary.tsv	cd workflow && bash benchmark/work_scripts/hifieval/arabidopsis_sim_all.sh	paths declared by config/runs/arabidopsis_sim/hifieval/32x_dadec_hifieval.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_hifieval_results.py; workflow/benchmark/work_scripts/hifieval/plot_oc_composition.py
DADEC ablation	Ablation results and supplementary table	workflow/benchmark/work_scripts/dadec_ablation.sh	config/runs/arabidopsis/32x_dadec.yaml	results/arabidopsis_32x/arabidopsis_32x_dadec_ablation_k39_k39_s4_a3_a2_t0p1_dev_fix_a.tsv	cd workflow && bash benchmark/work_scripts/dadec_ablation_cmd_dev.sh	paths declared by config/runs/arabidopsis/32x_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/work_scripts/collect_ablation.py
Strain classification	Classification result and coverage series	workflow/benchmark/scripts/classification/Snakefile	config/classification/30strains_legacy.yaml	results/classification/30strains_legacy_collected/selected_results.tsv	cd workflow && bash benchmark/work_scripts/classification/30strains_legacy_all.sh	paths declared by config/classification/30strains_legacy.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/work_scripts/final_collect_res/collect_classification_30strains_legacy.py; workflow/benchmark/work_scripts/final_collect_res/plot_classification_macro.py
Drosophila assembly	Canu/hifiasm assembly comparison	workflow/benchmark/assembly/Snakefile	config/runs/drosophila/assembly/config.yaml	results/drosophila_43x/assembly/all_assembly_results.tsv	cd workflow/benchmark/work_scripts/assembly && ./run.sh --printshellcmds	paths declared by config/runs/drosophila/assembly/config.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/work_scripts/final_collect_res/drosophila_43x/collect_assembly_results.py
Zymo long-read depth	Supplementary Table S3	workflow/benchmark/run_one.sh	config/runs/zymo/5pct_dadec.yaml	results/zymo_long_read_subsampling_metrics.tsv	cd workflow && for p in 5 10 20 30 40; do DATASET_CONFIG=benchmark/config/datasets/zymo.yaml benchmark/run_one.sh benchmark/config/runs/zymo/${p}pct_dadec.yaml; done	paths declared by config/runs/zymo/5pct_dadec.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/collect_run_summaries.py
Runtime and memory	Supplementary resource comparison	workflow/benchmark/scripts/combine_resources.py	config/common.yaml	results/ecoli3_20x/resource_summary.tsv	cd workflow && python benchmark/scripts/combine_resources.py --help	paths declared by config/common.yaml; acquisition/generation route in docs/DATASETS.tsv	workflow/benchmark/scripts/combine_resources.py
