name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Helicobacter pylori	210	species	5058328	4722	2266	0.00485089
Acinetobacter baumannii	470	species	11893028	20590	1495	0.481133
Escherichia coli	562	species	5070115	3362	3340	0.00249781
Nitratidesulfovibrio vulgaris str. Hildenborough	882	strain	3773159	1847	1847	0.0
Streptococcus pneumoniae	1313	species	2160842	4390	1772	0.311081
Clostridium butyricum	1492	species	9410692	9700	2513	0.0269431
Clostridium perfringens	1502	species	3256683	1909	1864	0.0010046
Clostridium septicum	1504	species	6803993	8433	4239	0.00985729
Clostridium sporogenes	1509	species	12562466	15306	6283	0.0432315
Staphylococcus aureus subsp. aureus NCTC 8325	93061	strain	2821361	2969	2969	0.0
Enterobacter hormaechei	158836	species	4670207	3746	3742	0.00175134
Streptococcus pneumoniae TIGR4	170187	strain	2160842	771	740	0.00157322
Clostridium perfringens ATCC 13124	195103	strain	3256683	1886	1842	0
Bacillus anthracis str. Ames	198094	strain	5227293	6526	149	0.0123887
Trichodesmium erythraeum IMS101	203124	strain	7750108	6695	6695	0.0
Bacillus anthracis str. 'Ames Ancestor'	261594	strain	5227419	6503	126	0.0990154
Escherichia coli O157:H7 str. Sakai	386585	strain	5498578	2512	2510	7.31712e-15
Escherichia coli str. K-12 substr. MG1655	511145	leaf	4641652	3168	3146	0.00467251
Clostridium saccharoperbutylacetonicum N1-4(HMT)	931276	leaf	6666445	4819	4819	0.0
Enterobacter hormaechei subsp. xiangfangensis	1296536	subspecies	4661849	3515	3514	0.0
Enterobacter hormaechei subsp. hoffmannii	1812934	subspecies	4678566	3186	3185	0.0
